production,percent_production,scenario,kg_id,name,crop
1812651.3441607556,1.5983082683941254,future,1,Af,castor
1456340.7281490888,1.2841308036971164,future,2,Am,castor
43590018.513844036,38.43556966129455,future,3,Aw,castor
2330582.599263846,2.0549949942544083,future,4,BWh,castor
779847.3533092517,0.6876316710848455,future,5,BWk,castor
39893461.347237006,35.17612437248472,future,6,BSh,castor
2946244.728972323,2.597856077617237,future,7,BSk,castor
19741.10761625403,0.017406753721259934,future,8,Csa,castor
74904.17153284598,0.0660468749734048,future,9,Csb,castor
2.6062171459198,2.298036203692977e-6,future,10,Csc,castor
9136033.28451109,8.055712195286361,future,11,Cwa,castor
356935.9012379583,0.3147288109614218,future,12,Cwb,castor
1.930747820995748,1.7024400287580995e-6,future,13,Cwc,castor
4271979.282150728,3.766824674290132,future,14,Cfa,castor
120566.16361952218,0.10630941069964056,future,15,Cfb,castor
444.0834244294674,3.91571281156123e-4,future,16,Cfc,castor
9.547525155940093,8.418545821620858e-6,future,17,Dsa,castor
392.6183169146475,3.461918389706685e-4,future,18,Dsb,castor
81.62504343924616,7.197301469874215e-5,future,19,Dsc,castor
0,0,future,20,Dsd,castor
6011370.2883044025,5.300535520593535,future,21,Dwa,castor
344874.782839325,0.3040939002132982,future,22,Dwb,castor
81329.88804012546,0.07171276094592009,future,23,Dwc,castor
0,0,future,24,Dwd,castor
115459.181233634,0.10180632068169371,future,25,Dfa,castor
26822.657434289136,0.023650921781307253,future,26,Dfb,castor
10122.766595424322,0.008925765895692115,future,27,Dfc,castor
0,0,future,28,Dfd,castor
30398.528041819132,0.026803951500527126,future,29,ET,castor
4.6889303064861,4.134471917571311e-6,future,30,EF,castor
782368.210867908,0.6898544413337538,present,1,Af,castor
987005.9913536297,0.8702941368271991,present,2,Am,castor
22863109.79213546,20.159584213306957,present,3,Aw,castor
6220157.2631973205,5.4846337749982474,present,4,BWh,castor
758214.1408869431,0.6685565508760494,present,5,BWk,castor
53836107.35016118,47.47007514330085,present,6,BSh,castor
2893463.084805284,2.5513157770992283,present,7,BSk,castor
51912.562925357306,0.045773986720840945,present,8,Csa,castor
219051.95261102804,0.19314941518893355,present,9,Csb,castor
1096.018415145576,9.664160186582701e-4,present,10,Csc,castor
5743194.637040023,5.0640712042876945,present,11,Cwa,castor
1391621.832474736,1.2270648122636967,present,12,Cwb,castor
2543.5204771787394,0.0022427533141442424,present,13,Cwc,castor
6770659.821330219,5.970040300235622,present,14,Cfa,castor
297513.94306467526,0.26233340277744993,present,15,Cfb,castor
320.8911617928029,2.8294630338052964e-4,present,16,Cfc,castor
360.6641299142375,3.180161826553535e-4,present,17,Dsa,castor
887.5251025277303,7.825767014418254e-4,present,18,Dsb,castor
390.3168564634069,3.4416252247775915e-4,present,19,Dsc,castor
0,0,present,20,Dsd,castor
7432945.602883735,6.554011864379385,present,21,Dwa,castor
2283064.0480091097,2.0130954344647023,present,22,Dwb,castor
420327.9920817842,0.37062489007937766,present,23,Dwc,castor
0,0,present,24,Dwd,castor
33372.93708059312,0.02942664150408088,present,25,Dfa,castor
145829.38893394603,0.1285853006750745,present,26,Dfb,castor
42026.02695744914,0.03705651756485186,present,27,Dfc,castor
0.33677215787975,2.9694939748788225e-7,present,28,Dfd,castor
232227.1802964032,0.20476669361114444,present,29,ET,castor
848.6862869677601,7.483305127061337e-4,present,30,EF,castor
