production,percent_production,scenario,kg_id,name,crop
1030430.5915114016,0.07494712878437548,future,1,Af,cauliflower
21300294.99556432,1.5492513181661336,future,2,Am,cauliflower
93570026.13271666,6.805703224163739,future,3,Aw,cauliflower
44432002.997207284,3.2317082569288273,future,4,BWh,cauliflower
6718991.495551871,0.4886977590403553,future,5,BWk,cauliflower
82663228.30392854,6.012410412174971,future,6,BSh,cauliflower
57928975.28992178,4.213394290859069,future,7,BSk,cauliflower
57662377.62464094,4.194003630568103,future,8,Csa,cauliflower
5372936.214320741,0.39079404835437265,future,9,Csb,cauliflower
1058.0958272055175,7.695932640301932e-5,future,10,Csc,cauliflower
646682243.5071559,47.03565459524054,future,11,Cwa,cauliflower
4994174.307692969,0.36324525697677007,future,12,Cwb,cauliflower
2672.0645786388777,1.9434940086714234e-4,future,13,Cwc,cauliflower
241545551.81569391,17.568524972332934,future,14,Cfa,cauliflower
34889025.683294974,2.537611288511866,future,15,Cfb,cauliflower
9656.058373934136,7.023217832063767e-4,future,16,Cfc,cauliflower
274140.4287771952,0.019939274114942684,future,17,Dsa,cauliflower
395067.72296030016,0.0287347753018724,future,18,Dsb,cauliflower
27731.214926809822,0.0020169965387171977,future,19,Dsc,cauliflower
0,0,future,20,Dsd,cauliflower
55777968.05928977,4.056943369022752,future,21,Dwa,cauliflower
1761782.869688996,0.12814115643734436,future,22,Dwb,cauliflower
426906.2671896192,0.03105051349357515,future,23,Dwc,cauliflower
0,0,future,24,Dwd,cauliflower
13331283.055005088,0.9696348266591363,future,25,Dfa,cauliflower
3578780.9937583106,0.2602983279415881,future,26,Dfb,cauliflower
172636.3448608328,0.012556496747802086,future,27,Dfc,cauliflower
0,0,future,28,Dfd,cauliflower
326379.9987706526,0.023738856359679178,future,29,ET,cauliflower
351.8965234413517,2.5594770068354646e-5,future,30,EF,cauliflower
1436744.6900605708,0.10449989567787958,present,1,Af,cauliflower
7839337.341380887,0.5701847656200296,present,2,Am,cauliflower
55348331.19303578,4.025694248692945,present,3,Aw,cauliflower
30103156.123620447,2.1895168266538976,present,4,BWh,cauliflower
8016713.040136869,0.5830859735688195,present,5,BWk,cauliflower
41322536.086798474,3.0055449239445644,present,6,BSh,cauliflower
87339121.2365648,6.352505856439897,present,7,BSk,cauliflower
50302726.33441257,3.658708252499217,present,8,Csa,cauliflower
7692038.879331061,0.5594711892802625,present,9,Csb,cauliflower
9772.609381120124,7.107989804261373e-4,present,10,Csc,cauliflower
531648995.3933248,38.66884975472554,present,11,Cwa,cauliflower
19485662.555122297,1.4172662118130395,present,12,Cwb,cauliflower
14391.793775356753,0.0010467697974084274,present,13,Cwc,cauliflower
238001574.200619,17.310758026248408,present,14,Cfa,cauliflower
78708580.74809021,5.7247738822564465,present,15,Cfb,cauliflower
111877.07897677514,0.008137244677289197,present,16,Cfc,cauliflower
643185.4534331257,0.04678131977815609,present,17,Dsa,cauliflower
2141378.8040096504,0.15575060981530203,present,18,Dsb,cauliflower
174450.54501314857,0.012688450412198644,present,19,Dsc,cauliflower
0,0,present,20,Dsd,cauliflower
134147726.78422303,9.757073439251762,present,21,Dwa,cauliflower
13607922.326660857,0.9897558511030918,present,22,Dwb,cauliflower
1665854.3542487496,0.12116391133221924,present,23,Dwc,cauliflower
0,0,present,24,Dwd,cauliflower
16999267.442421917,1.2364212560678225,present,25,Dfa,cauliflower
43535587.60332765,3.166508562235319,present,26,Dfb,cauliflower
2401381.448532895,0.1746615892096344,present,27,Dfc,cauliflower
85.5034878095612,6.218993268607315e-6,present,28,Dfd,cauliflower
2173025.403522175,0.1580523871390651,present,29,ET,cauliflower
5249.056220093943,3.8178378608381497e-4,present,30,EF,cauliflower
