production,percent_production,scenario,kg_id,name,crop
871952.7720536061,0.48423188557330965,future,1,Af,cerealnes
4843488.403166875,2.68979192152137,future,2,Am,cerealnes
89610777.9526045,49.764617266464924,future,3,Aw,cerealnes
4914829.218198551,2.7294104633602405,future,4,BWh,cerealnes
497429.3286682753,0.2762433350526652,future,5,BWk,cerealnes
34667940.1725272,19.252558827410297,future,6,BSh,cerealnes
9757336.866872888,5.418657730844801,future,7,BSk,cerealnes
1896706.6155041084,1.0533206043279375,future,8,Csa,cerealnes
4703009.876202915,2.61177831324519,future,9,Csb,cerealnes
11.210511043767902,6.225666199992777e-6,future,10,Csc,cerealnes
2039917.1098539867,1.1328513884891054,future,11,Cwa,cerealnes
10109109.773657572,5.614011955758578,future,12,Cwb,cerealnes
1303.3387949510989,7.237986075021225e-4,future,13,Cwc,cerealnes
4274948.676079115,2.3740580046228117,future,14,Cfa,cerealnes
7227135.5431534685,4.013530988740224,future,15,Cfb,cerealnes
27889.682403439416,0.015488308462454147,future,16,Cfc,cerealnes
35475.51678590453,0.019701039936449734,future,17,Dsa,cerealnes
43806.95233134776,0.024327834956781924,future,18,Dsb,cerealnes
2383.7999608910204,0.0013238239350661476,future,19,Dsc,cerealnes
0,0,future,20,Dsd,cerealnes
475256.40205334214,0.26392978045711,future,21,Dwa,cerealnes
63109.72738135505,0.03504747420656439,future,22,Dwb,cerealnes
17137.35594128676,0.00951709134618139,future,23,Dwc,cerealnes
0,0,future,24,Dwd,cerealnes
2790654.608405466,1.549767357043218,future,25,Dfa,cerealnes
1074422.6518205155,0.5966718878230006,future,26,Dfb,cerealnes
25528.85603434248,0.014177242724883767,future,27,Dfc,cerealnes
0,0,future,28,Dfd,cerealnes
97688.38644847383,0.05425045149767638,future,29,ET,cerealnes
8.99972739389538,4.997925467141939e-6,future,30,EF,cerealnes
138929.30698141918,0.07715326154943386,present,1,Af,cerealnes
2481371.502749304,1.378009497870261,present,2,Am,cerealnes
57255449.65904215,31.79634865137077,present,3,Aw,cerealnes
5357090.661076209,2.9750167613901692,present,4,BWh,cerealnes
733616.3980031788,0.407407904508318,present,5,BWk,cerealnes
36535460.92552964,20.289671300192317,present,6,BSh,cerealnes
6374405.7941104025,3.5399744527697257,present,7,BSk,cerealnes
3965734.113250893,2.2023382101523015,present,8,Csa,cerealnes
15728563.794504773,8.734730076762574,present,9,Csb,cerealnes
68588.37148948171,0.03808999468690547,present,10,Csc,cerealnes
1769317.9848612482,0.9825763635916951,present,11,Cwa,cerealnes
30017199.127180908,16.669807584590956,present,12,Cwb,cerealnes
244964.7641590399,0.13603919093964464,present,13,Cwc,cerealnes
3295759.549457253,1.830273281053131,present,14,Cfa,cerealnes
3009627.4663968734,1.6713721541296787,present,15,Cfb,cerealnes
2535.1364310375557,0.0014078674138459366,present,16,Cfc,cerealnes
49111.56276531193,0.027273707250553815,present,17,Dsa,cerealnes
70097.68643745556,0.038928180477014324,present,18,Dsb,cerealnes
29611.882804684417,0.016444718458910594,present,19,Dsc,cerealnes
0,0,present,20,Dsd,cerealnes
587369.8959235877,0.3261910981281812,present,21,Dwa,cerealnes
237945.4685525322,0.13214108217059917,present,22,Dwb,cerealnes
141987.62082297655,0.07885167128633327,present,23,Dwc,cerealnes
0,0,present,24,Dwd,cerealnes
2466131.9588086917,1.3695463409950785,present,25,Dfa,cerealnes
8138375.868321349,4.519580897644407,present,26,Dfb,cerealnes
346142.68504339445,0.19222752702673504,present,27,Dfc,cerealnes
3.935328505176585,2.1854527028155346e-6,present,28,Dfd,cerealnes
1023556.3645537526,0.5684237085812652,present,29,ET,cerealnes
310.31255677278983,1.723295564841954e-4,present,30,EF,cerealnes
