production,percent_production,scenario,kg_id,name,crop
579411.4942906187,1.4836266013166639e-18,future,1,Af,chicory
215086.6746126271,5.507455671633227e-19,future,2,Am,chicory
1746958.6599493304,4.473218713885813e-18,future,3,Aw,chicory
809650.1900473568,2.0731700553956373e-18,future,4,BWh,chicory
213634.47204247187,5.47027093531348e-19,future,5,BWk,chicory
1905859.1091802784,4.880095235603479e-18,future,6,BSh,chicory
20077111787058014e9,51.40895101046651,future,7,BSk,chicory
537104372383878e10,13.752960415944493,future,8,Csa,chicory
23245006672428406e6,0.05952058353488641,future,9,Csb,chicory
472.5746748724582,1.2100629097939257e-21,future,10,Csc,chicory
728694.835385561,1.865877796131236e-18,future,11,Cwa,chicory
1461442.254673192,3.742132537387697e-18,future,12,Cwb,chicory
6576.349044829607,1.683923511803658e-20,future,13,Cwc,chicory
12059779637514852e9,30.879970543455894,future,14,Cfa,chicory
3398142284059826e8,0.8701198263010976,future,15,Cfb,chicory
5390.33111192055,1.3802347220158768e-20,future,16,Cfc,chicory
8177815830593976e5,0.0020939910972584577,future,17,Dsa,chicory
1710974632207521e8,0.4381078911161279,future,18,Dsb,chicory
8317.180430934313,2.1296764487546222e-20,future,19,Dsc,chicory
0,0,future,20,Dsd,chicory
74918.71991522255,1.9183500309896483e-19,future,21,Dwa,chicory
2370.8019262304174,6.070616200865356e-21,future,22,Dwb,chicory
609.1508668077879,1.5597764958349929e-21,future,23,Dwc,chicory
0,0,future,24,Dwd,chicory
575138199242677e7,0.014726845087436416,future,25,Dfa,chicory
10050667792001131e8,2.5735488929962926,future,26,Dfb,chicory
4458.221317015441,1.1415610159027205e-20,future,27,Dfc,chicory
0,0,future,28,Dfd,chicory
488298.95412491757,1.2503261065295071e-18,future,29,ET,chicory
130.76677827203582,3.3483814650656557e-22,future,30,EF,chicory
636519.3675210888,1.629855595225522e-18,present,1,Af,chicory
202732.55505225435,5.191119171646186e-19,present,2,Am,chicory
1308845.4633342817,3.3513970046327664e-18,present,3,Aw,chicory
452869.39814668905,1.1596060703547108e-18,present,4,BWh,chicory
376423.96929238446,9.638618144763148e-19,present,5,BWk,chicory
499884.3213434912,1.2799913084816048e-18,present,6,BSh,chicory
21865668840266456e7,0.5598868553120011,present,7,BSk,chicory
18803071327780694e7,0.48146674829957303,present,8,Csa,chicory
2761719794193049e7,0.07071590730287539,present,9,Csb,chicory
5487.8659858718,1.4052092582437623e-20,present,10,Csc,chicory
416163.88472714316,1.065618849423071e-18,present,11,Cwa,chicory
1234993.5806208153,3.1622937182280613e-18,present,12,Cwb,chicory
24663.16138993211,6.315187508571625e-20,present,13,Cwc,chicory
8396147479476257e9,21.498965539818634,present,14,Cfa,chicory
14140052209372025e8,3.620666453556489,present,15,Cfb,chicory
10086.353494053035,2.582686484737666e-20,present,16,Cfc,chicory
4046.9943455325993,1.0362632646356704e-20,present,17,Dsa,chicory
6382.25100887139,1.6342232534814627e-20,present,18,Dsb,chicory
12439.86956225164,3.185321931188489e-20,present,19,Dsc,chicory
0,0,present,20,Dsd,chicory
185637.8553739137,4.753396561131585e-19,present,21,Dwa,chicory
17617.770082894807,4.5111622065532133e-20,present,22,Dwb,chicory
2721.147667937056,6.967702757096627e-21,present,23,Dwc,chicory
0,0,present,24,Dwd,chicory
5543474488231184e9,14.19448232474118,present,25,Dfa,chicory
2259472604846157e10,57.855491210097135,present,26,Dfb,chicory
6670754885725055e8,1.708096835642122,present,27,Dfc,chicory
0,0,present,28,Dfd,chicory
3994464185283986e6,0.010228125229979528,present,29,ET,chicory
1375.264755899282,3.521468586334324e-21,present,30,EF,chicory
