production,percent_production,scenario,kg_id,name,crop
69827230.58818676,3.6808762812620452,future,1,Af,chilleetc
31979386.498047933,1.6857630505811676,future,2,Am,chilleetc
133587372.68000287,7.041931742558955,future,3,Aw,chilleetc
149086903.26815638,7.858974807736477,future,4,BWh,chilleetc
15246986.371328095,0.8037304361379314,future,5,BWk,chilleetc
190679439.10076156,10.051485914566465,future,6,BSh,chilleetc
205169982.16727778,10.815341158815109,future,7,BSk,chilleetc
127882320.13872302,6.74119530484459,future,8,Csa,chilleetc
4073601.0505120535,0.2147360185968867,future,9,Csb,chilleetc
2119.5137172269897,1.11728156821248e-4,future,10,Csc,chilleetc
481279088.63408476,25.37017102208147,future,11,Cwa,chilleetc
6430548.72939965,0.33898028167755245,future,12,Cwb,chilleetc
1989.51957356271,1.0487563874074765e-4,future,13,Cwc,chilleetc
334182524.2490644,17.616115042213384,future,14,Cfa,chilleetc
24440704.353180077,1.2883685661475792,future,15,Cfb,chilleetc
18925.05822920922,9.976165082105429e-4,future,16,Cfc,chilleetc
3993530.3758027996,0.2105151688670708,future,17,Dsa,chilleetc
4713116.933340064,0.24844749225499027,future,18,Dsb,chilleetc
64565.72766726383,0.0034035211414078716,future,19,Dsc,chilleetc
0,0,future,20,Dsd,chilleetc
94988061.4021195,5.007205631283847,future,21,Dwa,chilleetc
2831484.3993943506,0.1492590165570365,future,22,Dwb,chilleetc
544420.9316505811,0.028698633433619704,future,23,Dwc,chilleetc
0,0,future,24,Dwd,chilleetc
9176357.919173947,0.48372301075868324,future,25,Dfa,chilleetc
6014676.762583362,0.3170579850920876,future,26,Dfb,chilleetc
254941.521491176,0.013439000682986932,future,27,Dfc,chilleetc
0,0,future,28,Dfd,chilleetc
556464.8022957582,0.02933351466002653,future,29,ET,chilleetc
629.3909015039146,3.3177744863618184e-5,future,30,EF,chilleetc
73150470.34400988,3.8560577153690114,present,1,Af,chilleetc
23020289.135269158,1.2134927241428057,present,2,Am,chilleetc
110974657.42870568,5.849923889429035,present,3,Aw,chilleetc
84052604.25202942,4.430753371764711,present,4,BWh,chilleetc
34831816.32456467,1.8361261854778017,present,5,BWk,chilleetc
46978379.74862229,2.4764207643955958,present,6,BSh,chilleetc
237153175.00686657,12.501304857083117,present,7,BSk,chilleetc
134520927.21090946,7.0911431848735536,present,8,Csa,chilleetc
18724318.44906052,0.9870347009523855,present,9,Csb,chilleetc
18159.979428241753,9.572861043257585e-4,present,10,Csc,chilleetc
259543211.35488588,13.681574402872066,present,11,Cwa,chilleetc
27385669.012784604,1.4436095870699692,present,12,Cwb,chilleetc
17778.251402233305,9.371636732198456e-4,present,13,Cwc,chilleetc
384260564.0381813,20.25593144792148,present,14,Cfa,chilleetc
50051546.8052126,2.6384198531704683,present,15,Cfb,chilleetc
60385.05744602792,0.0031831410729517523,present,16,Cfc,chilleetc
7437905.069835258,0.39208211643534774,present,17,Dsa,chilleetc
23412761.804222833,1.2341815489182737,present,18,Dsb,chilleetc
984265.217045159,0.0518846080730243,present,19,Dsc,chilleetc
0,0,present,20,Dsd,chilleetc
237282525.3380807,12.508123437200485,present,21,Dwa,chilleetc
22058762.915866233,1.1628067807794646,present,22,Dwb,chilleetc
2858146.837516752,0.15066450171316653,present,23,Dwc,chilleetc
0,0,present,24,Dwd,chilleetc
41603893.47085677,2.1931098139661476,present,25,Dfa,chilleetc
69037173.89843649,3.6392291916430253,present,26,Dfb,chilleetc
4023996.464275187,0.21212115984646693,present,27,Dfc,chilleetc
0,0,present,28,Dfd,chilleetc
3576757.822796739,0.1885453987341483,present,29,ET,chilleetc
7230.848354953256,3.811673179496387e-4,present,30,EF,chilleetc
