production,percent_production,scenario,kg_id,name,crop
1305451.4693416294,0.016473910335180995,future,1,Af,clover
2242116.5699215657,0.028293987330329003,future,2,Am,clover
5734966.6287585655,0.0723713812701678,future,3,Aw,clover
4704781214.8853,59.371141479317146,future,4,BWh,clover
1367052.9308154199,0.01725127891353736,future,5,BWk,clover
27895616.715622626,0.35202372459659903,future,6,BSh,clover
436315424.73719347,5.506004132502856,future,7,BSk,clover
105034286.15671629,1.3254613081389623,future,8,Csa,clover
13605405.461193182,0.17169097044604392,future,9,Csb,clover
5187.047778963903,6.545701776110148e-5,future,10,Csc,clover
31306770.504688393,0.39507016713415494,future,11,Cwa,clover
474411.86333175964,0.005986755296552734,future,12,Cwb,clover
1430.0913146571147,1.804678047561882e-5,future,13,Cwc,clover
1344641171.364339,16.96845774069288,future,14,Cfa,clover
1212894821.820984,15.305908346605316,future,15,Cfb,clover
24590.77248754674,3.103188364688773e-4,future,16,Cfc,clover
12859.084994256496,1.6227291336589375e-4,future,17,Dsa,clover
1386423.333205462,0.01749572022723159,future,18,Dsb,clover
95008.52792971204,0.001198943052996803,future,19,Dsc,clover
0,0,future,20,Dsd,clover
0,0,future,21,Dwa,clover
0,0,future,22,Dwb,clover
295.56624376773834,3.729845124301396e-6,future,23,Dwc,clover
0,0,future,24,Dwd,clover
1952491.5279621966,0.024639116135103386,future,25,Dfa,clover
32053046.569070876,0.40448766388424784,future,26,Dfb,clover
1017067.2626105564,0.012834697637242905,future,27,Dfc,clover
0,0,future,28,Dfd,clover
207584.16107223017,0.002619571034863776,future,29,ET,clover
2320.2561236610636,2.9280055393498552e-5,future,30,EF,clover
33885.24008657044,4.276087008839686e-4,present,1,Af,clover
749910.9333753256,0.009463366326461302,present,2,Am,clover
464223.65265826153,0.005858187001941378,present,3,Aw,clover
4698994969.122793,59.298122990229295,present,4,BWh,clover
3491665.688689331,0.044062447993494125,present,5,BWk,clover
9245969.172113672,0.11667784722787554,present,6,BSh,clover
81782963.97554298,1.0320454242223962,present,7,BSk,clover
23726074.067029618,0.2994069300662932,present,8,Csa,clover
7265731.929455594,0.09168859902978863,present,9,Csb,clover
24046.83113217337,3.0345466623623213e-4,present,10,Csc,clover
29309485.01659201,0.36986578166492573,present,11,Cwa,clover
1174073.4108284165,0.014816008523596725,present,12,Cwb,clover
512.0788288435433,6.462086802175401e-6,present,13,Cwc,clover
279589175.44218874,3.5282253803312082,present,14,Cfa,clover
857467697.8058666,10.820659596095076,present,15,Cfb,clover
41337.60906081029,5.216525325770976e-4,present,16,Cfc,clover
12.047310829162598,1.5202887509849062e-7,present,17,Dsa,clover
149355.3304369545,0.001884762765589892,present,18,Dsb,clover
113777.32938863977,0.0014357925717990026,present,19,Dsc,clover
0,0,present,20,Dsd,clover
0,0,present,21,Dwa,clover
0,0,present,22,Dwb,clover
0,0,present,23,Dwc,clover
0,0,present,24,Dwd,clover
112961199.65101673,1.425493569166406,present,25,Dfa,clover
1796878785.6679518,22.675389084522273,present,26,Dfb,clover
17196662.302030522,0.21701019109573727,present,27,Dfc,clover
0,0,present,28,Dfd,clover
3669801.305131888,0.04631039840888326,present,29,ET,clover
25699.699489911407,3.2431274159231305e-4,present,30,EF,clover
