production,percent_production,scenario,kg_id,name,crop
43438545.705699265,1.3672836997607467,future,1,Af,cucumberetc
32488593.76190424,1.022619978572905,future,2,Am,cucumberetc
142240940.670518,4.477215257966564,future,3,Aw,cucumberetc
139928729.15255556,4.404435447603476,future,4,BWh,cucumberetc
35725079.484639525,1.1244924998857846,future,5,BWk,cucumberetc
194146460.8516745,6.11100779218546,future,6,BSh,cucumberetc
305032531.9918188,9.601288489601576,future,7,BSk,cucumberetc
134817070.40284008,4.243539460556001,future,8,Csa,cucumberetc
3141506.619353893,0.09888293273983863,future,9,Csb,cucumberetc
776.4293789269996,2.4439106249428642e-5,future,10,Csc,cucumberetc
993834004.7107859,31.282194484948356,future,11,Cwa,cucumberetc
7787233.223928026,0.24511311049520593,future,12,Cwb,cucumberetc
2402.9292405128945,7.563526653243103e-5,future,13,Cwc,cucumberetc
733408639.9855595,23.08497355113769,future,14,Cfa,cucumberetc
51442607.41593693,1.6192217637657582,future,15,Cfb,cucumberetc
7132.843422671239,2.2451535580493584e-4,future,16,Cfc,cucumberetc
6477958.107033948,0.20390200416673726,future,17,Dsa,cucumberetc
6355278.819167086,0.2000405169121902,future,18,Dsb,cucumberetc
227071.19562956315,0.007147355866215169,future,19,Dsc,cucumberetc
0,0,future,20,Dsd,cucumberetc
199534976.9478651,6.280618217776968,future,21,Dwa,cucumberetc
5991366.320153433,0.18858590626726518,future,22,Dwb,cucumberetc
1153389.779931147,0.03630441627247165,future,23,Dwc,cucumberetc
0,0,future,24,Dwd,cucumberetc
109959100.95513673,3.461103127045504,future,25,Dfa,cucumberetc
28395576.858902466,0.8937870445185477,future,26,Dfb,cucumberetc
1100375.4608083484,0.03463572287556065,future,27,Dfc,cucumberetc
0,0,future,28,Dfd,cucumberetc
358209.37651343143,0.011275097580995099,future,29,ET,cucumberetc
239.28400410304633,7.531769609419804e-6,future,30,EF,cucumberetc
46076801.29454587,1.4503261636330893,present,1,Af,cucumberetc
15921434.130530994,0.5011474719015114,present,2,Am,cucumberetc
97031539.68491662,3.0541916267806326,present,3,Aw,cucumberetc
94723372.36682129,2.9815391127730524,present,4,BWh,cucumberetc
42500738.205084816,1.3377650110414954,present,5,BWk,cucumberetc
53143509.265229486,1.6727598216277066,present,6,BSh,cucumberetc
319468728.53987134,10.055686211855543,present,7,BSk,cucumberetc
130022915.71300033,4.092637319265174,present,8,Csa,cucumberetc
12640041.06517685,0.39786143463028634,present,9,Csb,cucumberetc
7386.04488585321,2.324851952123094e-4,present,10,Csc,cucumberetc
527861535.3064186,16.61511593516479,present,11,Cwa,cucumberetc
40865338.65211504,1.2862887216067362,present,12,Cwb,cucumberetc
9416.134437093147,2.96384856385837e-4,present,13,Cwc,cucumberetc
760007462.3834631,23.9222054544312,present,14,Cfa,cucumberetc
79041109.22824313,2.4879198532792093,present,15,Cfb,cucumberetc
62661.73409025761,0.0019723581033494527,present,16,Cfc,cucumberetc
22457839.107473552,0.706889165938842,present,17,Dsa,cucumberetc
29537502.861890815,0.929730623771802,present,18,Dsb,cucumberetc
2191321.756368127,0.0689746507333031,present,19,Dsc,cucumberetc
0,0,present,20,Dsd,cucumberetc
484921297.92363584,15.26351712623798,present,21,Dwa,cucumberetc
47245698.0301729,1.487118681139418,present,22,Dwb,cucumberetc
7203423.424368918,0.22673695149333983,present,23,Dwc,cucumberetc
0,0,present,24,Dwd,cucumberetc
91750328.34781948,2.8879587555163173,present,25,Dfa,cucumberetc
249838982.86312816,7.864001045245411,present,26,Dfb,cucumberetc
17175712.120191865,0.540627473415627,present,27,Dfc,cucumberetc
8219.071199476719,2.587057622590503e-4,present,28,Dfd,cucumberetc
5275242.49054619,0.16604499419654273,present,29,ET,cucumberetc
6241.53877556062,1.964604037866996e-4,present,30,EF,cucumberetc
