production,percent_production,scenario,kg_id,name,crop
3625.0960693280213,0.005339387555062929,future,1,Af,currant
13427.606565871518,0.019777460795786767,future,2,Am,currant
14895.006481718407,0.021938787474896165,future,3,Aw,currant
139742.19532789203,0.20582564555019645,future,4,BWh,currant
572316.1881157878,0.8429619171314662,future,5,BWk,currant
299088.0772474422,0.44052547214802956,future,6,BSh,currant
21049488.596654795,31.003696261834925,future,7,BSk,currant
822931.3149798643,1.2120918005600767,future,8,Csa,currant
107044.04839522523,0.15766469327003704,future,9,Csb,currant
0,0,future,10,Csc,currant
551207.6328578566,0.8118712218521964,future,11,Cwa,currant
1579.4221960738962,0.0023263237874604414,future,12,Cwb,currant
0,0,future,13,Cwc,currant
24720292.319041084,36.41040641173206,future,14,Cfa,currant
7600803.31133806,11.195188715802079,future,15,Cfb,currant
5.730563190358225,8.440520526059402e-6,future,16,Cfc,currant
30356.254345046378,0.04471158931197948,future,17,Dsa,currant
28690.650786738766,0.042258329387051555,future,18,Dsb,currant
506.15841547641094,7.4551843393935e-4,future,19,Dsc,currant
0,0,future,20,Dsd,currant
256018.2498279842,0.37708811873058184,future,21,Dwa,currant
17943.412475755264,0.026428770834249396,future,22,Dwb,currant
87.11625197950183,1.2831313233287688e-4,future,23,Dwc,currant
0,0,future,24,Dwd,currant
9200330.339594314,13.551124819377225,future,25,Dfa,currant
2370160.330882133,3.490998398991884,future,26,Dfb,currant
91858.36943549733,0.1352977756209326,future,27,Dfc,currant
0,0,future,28,Dfd,currant
1083.461832562002,0.001595826017995597,future,29,ET,currant
9.982910762241625e-5,1.4703783973674753e-10,future,30,EF,currant
649.4198112338781,9.565274938372188e-4,present,1,Af,currant
4799.077368264128,0.007068539284434342,present,2,Am,currant
5801.7064785474695,0.008545307152487849,present,3,Aw,currant
36920.584557451475,0.05438016150238116,present,4,BWh,currant
202655.93599195915,0.2984910087626107,present,5,BWk,currant
67052.60063493335,0.09876147128733427,present,6,BSh,currant
6692920.793181017,9.857972673468202,present,7,BSk,currant
487180.92352420534,0.7175665721353961,present,8,Csa,currant
36801.06707128221,0.054204124739200193,present,9,Csb,currant
0,0,present,10,Csc,currant
89057.62502352147,0.13117257188226644,present,11,Cwa,currant
3720.3902856935606,0.005479745974040209,present,12,Cwb,currant
2.38913045078516,3.5189394025380466e-6,present,13,Cwc,currant
590529.6409768555,0.869788429224189,present,14,Cfa,currant
7737880.789685001,11.39708951179967,present,15,Cfb,currant
6791.379050517699,0.01000299139403803,present,16,Cfc,currant
72788.08437198996,0.1072092392643034,present,17,Dsa,currant
154123.04474238912,0.2270071334132845,present,18,Dsb,currant
8325.884697600106,0.012263157800255334,present,19,Dsc,currant
0,0,present,20,Dsd,currant
427381.5134644253,0.6294882923417019,present,21,Dwa,currant
137205.92524593486,0.20208998485241225,present,22,Dwb,currant
106107.13451691347,0.15628471706903366,present,23,Dwc,currant
0,0,present,24,Dwd,currant
11296218.905449046,16.638149579909395,present,25,Dfa,currant
38295488.734365135,56.405251627227884,present,26,Dfb,currant
1259789.5651756234,1.8555383354416162,present,27,Dfc,currant
0,0,present,28,Dfd,currant
173272.28469424267,0.25521196206677554,present,29,ET,currant
15.490287270371788,2.281557384797926e-5,present,30,EF,currant
