production,percent_production,scenario,kg_id,name,crop
3085791971.681436,12.895204483823408,future,1,Af,fornes
799349720.9239259,3.3403995473436052,future,2,Am,fornes
6155655325.5100565,25.723844926311003,future,3,Aw,fornes
927808341.2627794,3.877214793536864,future,4,BWh,fornes
391800557.8190877,1.6372938799241892,future,5,BWk,fornes
2655364587.362434,11.096493103676043,future,6,BSh,fornes
1475358735.3250988,6.165371079323137,future,7,BSk,fornes
1295693200.2486029,5.414567449406201,future,8,Csa,fornes
11089254.836466372,0.04634084539779991,future,9,Csb,fornes
6734.915805460656,2.81445143709497e-5,future,10,Csc,fornes
2726891453.030661,11.3953964540455,future,11,Cwa,fornes
86114784.0785221,0.3598647478390299,future,12,Cwb,fornes
31.194364070892334,1.303580108861979e-7,future,13,Cwc,fornes
2082431780.9070046,8.702266350046942,future,14,Cfa,fornes
408827511.2639197,1.7084477517414167,future,15,Cfb,fornes
53965.14217091854,2.2551472998790902e-4,future,16,Cfc,fornes
13348061.66406902,0.05578016476822428,future,17,Dsa,fornes
37833498.38555718,0.15810226434490457,future,18,Dsb,fornes
4326344.731451974,0.018079345753559017,future,19,Dsc,fornes
0,0,future,20,Dsd,fornes
453900497.87648433,1.896803086255087,future,21,Dwa,fornes
138304571.17675143,0.5779604531798413,future,22,Dwb,fornes
32206553.535530686,0.13458784563937182,future,23,Dwc,fornes
0,0,future,24,Dwd,fornes
930364821.7446973,3.8878980602235913,future,25,Dfa,fornes
195724848.4693842,0.8179138343544236,future,26,Dfb,fornes
16758219.47378892,0.0700308604346868,future,27,Dfc,fornes
0,0,future,28,Dfd,fornes
4754920.85414409,0.019870320903444965,future,29,ET,fornes
3484.682197591544,1.4562125351112635e-5,future,30,EF,fornes
215357056.9427401,0.8999547966280499,present,1,Af,fornes
503491707.7392347,2.1040396069437817,present,2,Am,fornes
3366211247.6940117,14.067047543424573,present,3,Aw,fornes
876030740.8735279,3.660841573686508,present,4,BWh,fornes
367838156.7914771,1.537157492244742,present,5,BWk,fornes
2819482689.5803027,11.78232562479809,present,6,BSh,fornes
1147720304.9087753,4.796204072684232,present,7,BSk,fornes
1299505335.284551,5.430497966193991,present,8,Csa,fornes
197234735.52049002,0.8242234956829149,present,9,Csb,fornes
54245.07468264351,2.2668453891005647e-4,present,10,Csc,fornes
3924257436.893246,16.399064668098536,present,11,Cwa,fornes
279949465.9319897,1.1698797720194616,present,12,Cwb,fornes
11154.44357861788,4.6613262387603956e-5,present,13,Cwc,fornes
5053411807.142948,21.117683626147965,present,14,Cfa,fornes
389637294.70499873,1.6282538278194167,present,15,Cfb,fornes
162902.8585446012,6.807541438988668e-4,present,16,Cfc,fornes
58790866.02384756,0.24568092927712287,present,17,Dsa,fornes
39558548.10954863,0.16531106815921734,present,18,Dsb,fornes
24311408.38248454,0.10159485320426556,present,19,Dsc,fornes
0,0,present,20,Dsd,fornes
371573457.63820714,1.552766926927708,present,21,Dwa,fornes
438227912.0398258,1.831308976150231,present,22,Dwb,fornes
182105575.02802742,0.7610003037084468,present,23,Dwc,fornes
0,0,present,24,Dwd,fornes
207856081.93945757,0.8686090003517474,present,25,Dfa,fornes
1873882454.4092097,7.830760352613381,present,26,Dfb,fornes
187700145.47721416,0.7843794331518708,present,27,Dfc,fornes
2617.001344293356,1.0936177091262278e-5,present,28,Dfd,fornes
105010328.75111684,0.43882726852170545,present,29,ET,fornes
388100.9110089202,0.0016218334397607396,present,30,EF,fornes
