production,percent_production,scenario,kg_id,name,crop
6476702.116476003,0.6136112783497059,future,1,Af,garlic
20455229.637006372,1.9379553638217373,future,2,Am,garlic
85449080.83180891,8.09555832275058,future,3,Aw,garlic
46656518.42664016,4.4202999304674515,future,4,BWh,garlic
11316669.275684832,1.072156133790523,future,5,BWk,garlic
69836973.05750228,6.616446695128272,future,6,BSh,garlic
67404250.12869921,6.385967324706694,future,7,BSk,garlic
18948685.18248998,1.7952233604036996,future,8,Csa,garlic
1583253.6229791061,0.14999953094594543,future,9,Csb,garlic
647.6327966078716,6.135758308488874e-5,future,10,Csc,garlic
400497270.3227325,37.94363822803276,future,11,Cwa,garlic
4695987.980035233,0.444904078607233,future,12,Cwb,garlic
5327.729329618247,5.047560850964429e-4,future,13,Cwc,garlic
215551566.22844055,20.42163893368628,future,14,Cfa,garlic
2358631.784334125,0.22345987793074262,future,15,Cfb,garlic
7120.514572480511,6.746069173403312e-4,future,16,Cfc,garlic
478728.2275477922,0.04535534202513573,future,17,Dsa,garlic
990580.332752602,0.09384888379259354,future,18,Dsb,garlic
460987.3112275609,0.043674544275512595,future,19,Dsc,garlic
0,0,future,20,Dsd,garlic
80974545.84300758,7.671634991845131,future,21,Dwa,garlic
2508206.934031868,0.2376308243730531,future,22,Dwb,garlic
434896.591286489,0.0412026751470284,future,23,Dwc,garlic
0,0,future,24,Dwd,garlic
15054674.239553206,1.4262996412589224,future,25,Dfa,garlic
1697624.994344769,0.16083522511995482,future,26,Dfb,garlic
215543.8735174148,0.020420910116124253,future,27,Dfc,garlic
0,0,future,28,Dfd,garlic
1438561.0763073019,0.13629116873717542,future,29,ET,garlic
7452.019204060991,7.060141022169495e-4,future,30,EF,garlic
6540201.785551877,0.6196273205291523,present,1,Af,garlic
10053734.232970797,0.9525040065047843,present,2,Am,garlic
54396006.90017902,5.153549249428713,present,3,Aw,garlic
30653727.785139844,2.904174494079999,present,4,BWh,garlic
17497118.684798162,1.6577000409364593,present,5,BWk,garlic
17348883.537509546,1.6436560480851075,present,6,BSh,garlic
99302087.63169426,9.408010410031366,present,7,BSk,garlic
18987826.12257607,1.7989316245557496,present,8,Csa,garlic
4054961.4465997857,0.3841723815855667,present,9,Csb,garlic
11793.649069301788,0.0011173458268850583,present,10,Csc,garlic
221287816.87226507,20.96509886548358,present,11,Cwa,garlic
17391547.863209307,1.647698122425065,present,12,Cwb,garlic
21608.627879244934,0.0020472298305392817,present,13,Cwc,garlic
264683641.55323058,25.07647638117755,present,14,Cfa,garlic
9039577.25788224,0.8564214406031808,present,15,Cfb,garlic
15638.730300245728,0.0014816338807506146,present,16,Cfc,garlic
1269786.5318088778,0.1203012463754356,present,17,Dsa,garlic
2420753.6570480946,0.229345385870428,present,18,Dsb,garlic
600653.8522584537,0.056906736098359306,present,19,Dsc,garlic
0,0,present,20,Dsd,garlic
202364888.25454444,19.17231571590783,present,21,Dwa,garlic
18720843.123944443,1.7736373040602555,present,22,Dwb,garlic
2754827.8477672213,0.2609960141599908,present,23,Dwc,garlic
0,0,present,24,Dwd,garlic
18759701.988455605,1.7773188440012782,present,25,Dfa,garlic
31151125.97983435,2.951298653352187,present,26,Dfb,garlic
1952907.3860962354,0.18502101472795646,present,27,Dfc,garlic
1906.341939151287,1.8060934302946527e-4,present,28,Dfd,garlic
4066752.7821393795,0.3852895082256039,present,29,ET,garlic
155395.48761702623,0.014722372913198134,present,30,EF,garlic
