production,percent_production,scenario,kg_id,name,crop
5162330.451932622,0.09153608721899306,future,1,Af,grape
15546051.251821607,0.27565548477528035,future,2,Am,grape
96020968.8766608,1.7025999911833924,future,3,Aw,grape
831507886.8608932,14.743918306602191,future,4,BWh,grape
164357496.41246548,2.9143121051219256,future,5,BWk,grape
1029490642.6431057,18.254458162560592,future,6,BSh,grape
835224843.1668289,14.809825679207897,future,7,BSk,grape
1360017627.5956628,24.11521179012456,future,8,Csa,grape
85483685.26256196,1.515757687899549,future,9,Csb,grape
60950.22300730628,0.0010807415335306945,future,10,Csc,grape
145258248.97104847,2.575652967375295,future,11,Cwa,grape
7053595.738765327,0.12507114001379466,future,12,Cwb,grape
59856.13404177874,0.0010613416473927637,future,13,Cwc,grape
815149956.077129,14.453866944550322,future,14,Cfa,grape
57259298.44809316,1.0152957439756356,future,15,Cfb,grape
453470.75320977747,0.008040736408405039,future,16,Cfc,grape
13638454.986641139,0.2418308585267196,future,17,Dsa,grape
17722090.768623367,0.3142400242302027,future,18,Dsb,grape
3212820.974239487,0.05696827501751614,future,19,Dsc,grape
0,0,future,20,Dsd,grape
64302868.20257141,1.1401891078124293,future,21,Dwa,grape
1686692.4436418023,0.029907660516969106,future,22,Dwb,grape
2271223.7076131864,0.040272302079401814,future,23,Dwc,grape
0,0,future,24,Dwd,grape
31104950.944062524,0.551538792231383,future,25,Dfa,grape
42694764.476679966,0.7570440756012944,future,26,Dfb,grape
4374731.884627629,0.07757074892427114,future,27,Dfc,grape
0,0,future,28,Dfd,grape
10455619.859816201,0.18539427886846624,future,29,ET,grape
95816.02345931965,0.0016989659925907901,future,30,EF,grape
2942240.3352836226,0.05217046263455206,present,1,Af,grape
10869874.789897826,0.19273965820129324,present,2,Am,grape
61291492.03900527,1.0867927602279404,present,3,Aw,grape
272923677.01028425,4.839358064261272,present,4,BWh,grape
408171341.9248006,7.23750792449457,present,5,BWk,grape
178668025.16245714,3.1680598688511434,present,6,BSh,grape
1301252957.9333315,23.073223490907356,present,7,BSk,grape
957956869.567991,16.986053950107276,present,8,Csa,grape
306310515.6018425,5.431358246686481,present,9,Csb,grape
460797.47277284967,0.0081706504554036,present,10,Csc,grape
43868238.91645631,0.7778515887329681,present,11,Cwa,grape
17023550.28874023,0.30185382329092686,present,12,Cwb,grape
49596.72115730081,8.794264210519818e-4,present,13,Cwc,grape
603936298.8590692,10.708722783599354,present,14,Cfa,grape
586234602.2154541,10.394844378684864,present,15,Cfb,grape
772184.4700367844,0.013692022557753453,present,16,Cfc,grape
43445301.06174804,0.7703522477439974,present,17,Dsa,grape
68090528.51205716,1.2073501715361221,present,18,Dsb,grape
7460870.071457318,0.13229274258001447,present,19,Dsc,grape
0,0,present,20,Dsd,grape
139891417.8070269,2.4804907668742446,present,21,Dwa,grape
14697750.76525184,0.2606138077556516,present,22,Dwb,grape
3036096.268352594,0.05383467319902785,present,23,Dwc,grape
0,0,present,24,Dwd,grape
127866387.5152015,2.267268418585501,present,25,Dfa,grape
411037320.4308413,7.288326147182832,present,26,Dfb,grape
35111458.91728378,0.6225803628350385,present,27,Dfc,grape
0,0,present,28,Dfd,grape
34481676.37691973,0.6114133462946345,present,29,ET,grape
1815872.1044834156,0.03219821529873266,present,30,EF,grape
