production,percent_production,scenario,kg_id,name,crop
41221340.188530646,0.33373527306558554,future,1,Af,grassnes
193765060.75768924,1.568756259907576,future,2,Am,grassnes
483533348.6253574,3.9147716547241354,future,3,Aw,grassnes
546438349.4140601,4.424061685552629,future,4,BWh,grassnes
28745300.05076785,0.23272704181666629,future,5,BWk,grassnes
1952630936.7263558,15.808845997830941,future,6,BSh,grassnes
1097605575.1982677,8.886409191980233,future,7,BSk,grassnes
1011407786.1717556,8.188536620956526,future,8,Csa,grassnes
205244144.13361266,1.6616929525887214,future,9,Csb,grassnes
295145.2987405597,0.0023895486274512516,future,10,Csc,grassnes
576547172.3813517,4.667828050467379,future,11,Cwa,grassnes
20621528.565571185,0.16695554864020515,future,12,Cwb,grassnes
20615.799145755358,1.669091622423346e-4,future,13,Cwc,grassnes
5429148917.076504,43.95535147734945,future,14,Cfa,grassnes
408245372.7389186,3.3052268636984676,future,15,Cfb,grassnes
422875.1673861324,0.0034236722730216665,future,16,Cfc,grassnes
581843.2485874705,0.004710706021701245,future,17,Dsa,grassnes
3986152.901639087,0.03227260009076179,future,18,Dsb,grassnes
1195486.9874685593,0.009678874446692161,future,19,Dsc,grassnes
0,0,future,20,Dsd,grassnes
464742.08146854653,0.0037626342267039867,future,21,Dwa,grassnes
895373.178995274,0.007249099884208317,future,22,Dwb,grassnes
65254.53209911023,5.28312252567736e-4,future,23,Dwc,grassnes
0,0,future,24,Dwd,grassnes
203233044.2130576,1.6454107313392685,future,25,Dfa,grassnes
140731939.11923015,1.1393907116118878,future,26,Dfb,grassnes
3007623.0546120144,0.024350249089877304,future,27,Dfc,grassnes
0,0,future,28,Dfd,grassnes
1440456.9715214649,0.011662194837219298,future,29,ET,grassnes
12986.074262125258,1.051375578789698e-4,future,30,EF,grassnes
18452944.122314647,0.14939830479451932,present,1,Af,grassnes
140866930.33542466,1.140483624413657,present,2,Am,grassnes
280289330.2538807,2.26927207465409,present,3,Aw,grassnes
219705639.54236153,1.7787757814608982,present,4,BWh,grassnes
135081723.81387582,1.0936455674902406,present,5,BWk,grassnes
511088702.9669725,4.137864685265065,present,6,BSh,grassnes
2127187096.4817104,17.222083592115712,present,7,BSk,grassnes
613874238.2657267,4.970034588844923,present,8,Csa,grassnes
190908988.9992282,1.5456329969606304,present,9,Csb,grassnes
400321.05630775326,0.0032410701939755144,present,10,Csc,grassnes
516601121.6072099,4.1824942031734444,present,11,Cwa,grassnes
72935703.38034226,0.5905003760804878,present,12,Cwb,grassnes
201394.41270621703,0.001630524844922282,present,13,Cwc,grassnes
3717208314.2624555,30.095177064311407,present,14,Cfa,grassnes
2591560950.617141,20.981736585094506,present,15,Cfb,grassnes
6831025.253821599,0.05530519066035551,present,16,Cfc,grassnes
481644.5962525699,0.0038994799808968763,present,17,Dsa,grassnes
14345043.214848984,0.1161400112793349,present,18,Dsb,grassnes
4794886.347007355,0.038820249342164534,present,19,Dsc,grassnes
0,0,present,20,Dsd,grassnes
303377.69423907995,0.002456199559883744,present,21,Dwa,grassnes
2232640.8995780484,0.01807585626450333,present,22,Dwb,grassnes
712124.6839943714,0.005765487603814778,present,23,Dwc,grassnes
0,0,present,24,Dwd,grassnes
347346252.2020877,2.8121767947570353,present,25,Dfa,grassnes
765030262.103966,6.193820537104775,present,26,Dfb,grassnes
60228340.70747481,0.4876193166055505,present,27,Dfc,grassnes
0,0,present,28,Dfd,grassnes
12742218.28679542,0.10316325670042584,present,29,ET,grassnes
97154.54923257619,7.865804427852945e-4,present,30,EF,grassnes
