production,percent_production,scenario,kg_id,name,crop
44579303.7414275,8.431943626549632,future,1,Af,greenbean
37237366.81060854,7.043254411719693,future,2,Am,greenbean
53162486.87937974,10.055408110771905,future,3,Aw,greenbean
33351152.680171266,6.308197205384365,future,4,BWh,greenbean
4353552.719605828,0.823451871744121,future,5,BWk,greenbean
41455259.509664215,7.841046895594271,future,6,BSh,greenbean
51790655.774497665,9.795933386612775,future,7,BSk,greenbean
50855298.334955074,9.619015387923449,future,8,Csa,greenbean
3020698.0122936876,0.5713493306271924,future,9,Csb,greenbean
1091.50716612161,2.0645290797037573e-4,future,10,Csc,greenbean
86218061.71296802,16.30769830257659,future,11,Cwa,greenbean
1701776.495163468,0.3218821800231662,future,12,Cwb,greenbean
2550.565102767601,4.824261340446972e-4,future,13,Cwc,greenbean
79223352.25553949,14.984685359816746,future,14,Cfa,greenbean
11912571.048824176,2.2532009049214508,future,15,Cfb,greenbean
10509.470076438229,0.0019878116478317114,future,16,Cfc,greenbean
1286345.4400058247,0.2433055549119928,future,17,Dsa,greenbean
1505039.6340827388,0.2846704251801796,future,18,Dsb,greenbean
40751.46094396814,0.007707927054494532,future,19,Dsc,greenbean
0,0,future,20,Dsd,greenbean
16631052.325992603,3.1456771168152904,future,21,Dwa,greenbean
535716.323445406,0.10132795849201046,future,22,Dwb,greenbean
131141.56067952418,0.024804744667196028,future,23,Dwc,greenbean
0,0,future,24,Dwd,greenbean
7100958.903867373,1.343109473381337,future,25,Dfa,greenbean
2153114.5771345203,0.4072504326492914,future,26,Dfb,greenbean
119507.67832727755,0.02260425628090269,future,27,Dfc,greenbean
0,0,future,28,Dfd,greenbean
315840.8526404872,0.05973965586975044,future,29,ET,greenbean
310.8187029609435,5.878974235769497e-5,future,30,EF,greenbean
50262214.608069904,9.506836683205986,present,1,Af,greenbean
25253347.720933646,4.77653948118279,present,2,Am,greenbean
39532424.73686044,7.477352691182912,present,3,Aw,greenbean
26356691.008158196,4.985231129948129,present,4,BWh,greenbean
3534065.3716378305,0.668450098705762,present,5,BWk,greenbean
14610767.023843013,2.763550651223106,present,6,BSh,greenbean
52459385.31529098,9.922420103903912,present,7,BSk,greenbean
46529893.74071305,8.800887587807663,present,8,Csa,greenbean
7495910.015707924,1.4178124236471992,present,9,Csb,greenbean
11021.227535684982,0.0020846079116734204,present,10,Csc,greenbean
58617987.69646737,11.087287738392247,present,11,Cwa,greenbean
5677773.727377266,1.073921393461778,present,12,Cwb,greenbean
6992.796113220993,0.0013226510436465308,present,13,Cwc,greenbean
79700096.72807114,15.07485909918182,present,14,Cfa,greenbean
30509786.84508701,5.77076762409707,present,15,Cfb,greenbean
102201.0518358734,0.019330797821620855,present,16,Cfc,greenbean
2231320.1066749585,0.4220426021321143,present,17,Dsa,greenbean
7960074.901806067,1.5056067996137816,present,18,Dsb,greenbean
407221.2349095417,0.07702378027722037,present,19,Dsc,greenbean
0,0,present,20,Dsd,greenbean
39920790.339976326,7.550810026698023,present,21,Dwa,greenbean
3947558.6213902356,0.7466601979952007,present,22,Dwb,greenbean
505873.0333497933,0.09568325526433022,present,23,Dwc,greenbean
0,0,present,24,Dwd,greenbean
7520351.623072281,1.4224354266585044,present,25,Dfa,greenbean
22542176.628310982,4.263735558817329,present,26,Dfb,greenbean
1418511.1490104508,0.2683040119124404,present,27,Dfc,greenbean
0,0,present,28,Dfd,greenbean
1578158.0153390446,0.2985003870026832,present,29,ET,greenbean
2871.8257244624265,5.4319091106484e-4,present,30,EF,greenbean
