production,percent_production,scenario,kg_id,name,crop
1354914.8751612396,1.5137444122720123,future,1,Af,greenbroadbean
948855.0726702994,1.0600843570631642,future,2,Am,greenbroadbean
4698524.375124536,5.249307649620586,future,3,Aw,greenbroadbean
9291896.065488521,10.381136118881045,future,4,BWh,greenbroadbean
1503812.0367579039,1.6800960041705744,future,5,BWk,greenbroadbean
22295104.10717256,24.908641776657,future,6,BSh,greenbroadbean
9053354.894122168,10.114632021928337,future,7,BSk,greenbroadbean
17564690.716148537,19.623706929700525,future,8,Csa,greenbroadbean
894826.8506039211,0.9997226909856263,future,9,Csb,greenbroadbean
617.5026523519557,6.898892371003622e-4,future,10,Csc,greenbroadbean
6056047.333441173,6.765965876904595,future,11,Cwa,greenbroadbean
4186081.838262489,4.676794172201491,future,12,Cwb,greenbroadbean
12815.344239995815,0.014317619571729492,future,13,Cwc,greenbroadbean
6152203.000104459,6.873393366105729,future,14,Cfa,greenbroadbean
3044139.2154646018,3.4009876281262867,future,15,Cfb,greenbroadbean
7897.209152933746,0.008822957402673906,future,16,Cfc,greenbroadbean
137945.07855780574,0.1541156538284021,future,17,Dsa,greenbroadbean
140252.4778506062,0.1566935373917082,future,18,Dsb,greenbroadbean
12711.702361912437,0.01420182830195882,future,19,Dsc,greenbroadbean
0,0,future,20,Dsd,greenbroadbean
1095405.901668562,1.2238145681463892,future,21,Dwa,greenbroadbean
35517.881442249316,0.039681455680045205,future,22,Dwb,greenbroadbean
9233.558821368679,0.010315960306781963,future,23,Dwc,greenbroadbean
0,0,future,24,Dwd,greenbroadbean
35982.59089321078,0.040200640573221015,future,25,Dfa,greenbroadbean
266415.15509718424,0.29764560103818477,future,26,Dfb,greenbroadbean
35974.89882890439,0.04019204680871515,future,27,Dfc,greenbroadbean
0,0,future,28,Dfd,greenbroadbean
672106.4574898798,0.7508939588224453,future,29,ET,greenbroadbean
180.1591634854796,2.012782736725735e-4,future,30,EF,greenbroadbean
1501725.8817890866,1.677765300238488,present,1,Af,greenbroadbean
663043.9114407436,0.7407690582147926,present,2,Am,greenbroadbean
4018045.95537417,4.4890603274807175,present,3,Aw,greenbroadbean
2268442.3882817337,2.5343599459809707,present,4,BWh,greenbroadbean
1588688.4275752672,1.7749220074044008,present,5,BWk,greenbroadbean
4833057.1143776765,5.399610953573798,present,6,BSh,greenbroadbean
15887119.181852018,17.749482516948586,present,7,BSk,greenbroadbean
27439326.82808581,30.655894642515808,present,8,Csa,greenbroadbean
2793884.6444383995,3.1213970313433252,present,9,Csb,greenbroadbean
8804.814958539266,0.009836957058274039,present,10,Csc,greenbroadbean
3336005.620947219,3.727067995630299,present,11,Cwa,greenbroadbean
4296945.341422341,4.800653620134082,present,12,Cwb,greenbroadbean
117822.61052428196,0.1316343348132544,present,13,Cwc,greenbroadbean
7688033.675869615,8.589261385754408,present,14,Cfa,greenbroadbean
4808511.059129883,5.372187493505691,present,15,Cfb,greenbroadbean
22921.371354656294,0.025608323036230344,present,16,Cfc,greenbroadbean
349001.7337148921,0.3899133694441824,present,17,Dsa,greenbroadbean
812905.4109272272,0.908198032256703,present,18,Dsb,greenbroadbean
51544.69665261969,0.05758701005542776,present,19,Dsc,greenbroadbean
0,0,present,20,Dsd,greenbroadbean
2628998.714547816,2.937182392025529,present,21,Dwa,greenbroadbean
259313.44173091228,0.2897113912049121,present,22,Dwb,greenbroadbean
41103.10146282356,0.04592140163712823,present,23,Dwc,greenbroadbean
0,0,present,24,Dwd,greenbroadbean
149106.853854964,0.16658586527626032,present,25,Dfa,greenbroadbean
888052.2301568964,0.9921539174523615,present,26,Dfb,greenbroadbean
200677.96870160985,0.2242023903915066,present,27,Dfc,greenbroadbean
0.0271787634235352,3.036478676193097e-8,present,28,Dfd,greenbroadbean
2852118.031313125,3.1864568115592595,present,29,ET,greenbroadbean
2305.261079773081,0.0025754946988233306,present,30,EF,greenbroadbean
