production,percent_production,scenario,kg_id,name,crop
42057246.951705866,4.981915964376517,future,1,Af,greencorn
19908211.727648865,2.3582389484991917,future,2,Am,greencorn
134716914.1438014,15.957971429162281,future,3,Aw,greencorn
13513816.811484013,1.6007871316470283,future,4,BWh,greencorn
42524114.997235894,5.0372190937504895,future,5,BWk,greencorn
54554640.70906167,6.462302104352922,future,6,BSh,greencorn
62818307.16531202,7.441179582708803,future,7,BSk,greencorn
53946494.319307216,6.390263765484125,future,8,Csa,greencorn
12046385.261557508,1.4269616629090633,future,9,Csb,greencorn
7050.63244220729,8.351868196013427e-4,future,10,Csc,greencorn
6921814.897392593,0.8199276614414885,future,11,Cwa,greencorn
11520906.676143996,1.3647157875046252,future,12,Cwb,greencorn
49048.14494558051,0.005810026904709933,future,13,Cwc,greencorn
180658453.93569222,21.4000035902326,future,14,Cfa,greencorn
18395529.504635952,2.1790532846227566,future,15,Cfb,greencorn
69989.04143566772,0.0082905931351177,future,16,Cfc,greencorn
258689.0445328175,0.030643163168698043,future,17,Dsa,greencorn
308489.32630843995,0.036542284884708495,future,18,Dsb,greencorn
124814.06851678647,0.014784924016462324,future,19,Dsc,greencorn
0,0,future,20,Dsd,greencorn
33551.26868468146,0.003974335297724969,future,21,Dwa,greencorn
19509.295734489984,0.0023109851195206705,future,22,Dwb,greencorn
301.37833734737217,3.569994849810837e-5,future,23,Dwc,greencorn
0,0,future,24,Dwd,greencorn
182579396.96951365,21.627550028967452,future,25,Dfa,greencorn
3186235.820606035,0.3774274412011097,future,26,Dfb,greencorn
35083.931975960135,0.0041558878308140465,future,27,Dfc,greencorn
0,0,future,28,Dfd,greencorn
3941303.202083053,0.46686939269831185,future,29,ET,greencorn
1942.0216224818635,2.3004331537241423e-4,future,30,EF,greencorn
42780035.490227506,5.067534306515369,present,1,Af,greencorn
23078092.842868358,2.733729083438875,present,2,Am,greencorn
124581467.20654161,14.757371091227478,present,3,Aw,greencorn
7059174.378490917,0.8361986596960345,present,4,BWh,greencorn
45504367.62702822,5.390246674735204,present,5,BWk,greencorn
25046485.630300652,2.96689621069124,present,6,BSh,greencorn
55760918.76734459,6.605192482387831,present,7,BSk,greencorn
11101867.526069483,1.315078258118734,present,8,Csa,greencorn
37943746.56046585,4.494648852192026,present,9,Csb,greencorn
70883.90612201502,0.008396594858720524,present,10,Csc,greencorn
5065220.601728065,0.6000036903940605,present,11,Cwa,greencorn
15647163.894069089,1.8534940171093819,present,12,Cwb,greencorn
141072.13559769443,0.016710782930463217,present,13,Cwc,greencorn
65946537.39368167,7.811735937309369,present,14,Cfa,greencorn
63330108.26367895,7.501805283327473,present,15,Cfb,greencorn
143152.77521746638,0.016957246322367087,present,16,Cfc,greencorn
220707.48599157494,0.026144035276047365,present,17,Dsa,greencorn
2326759.247401836,0.2756176373884532,present,18,Dsb,greencorn
243706.27575973998,0.02886837046705333,present,19,Dsc,greencorn
0,0,present,20,Dsd,greencorn
72522.88042503149,0.00859074052533481,present,21,Dwa,greencorn
90536.5202955522,0.010724556848370108,present,22,Dwb,greencorn
7783.77236309892,9.220313408370249e-4,present,23,Dwc,greencorn
0,0,present,24,Dwd,greencorn
177462597.27843943,21.021436507158683,present,25,Dfa,greencorn
125771787.0777954,14.898371132816585,present,26,Dfb,greencorn
1570620.6262191797,0.18604879156083226,present,27,Dfc,greencorn
0,0,present,28,Dfd,greencorn
13214611.529025393,1.5653445936459545,present,29,ET,greencorn
16313.554570054059,0.001932431717216415,present,30,EF,greencorn
