production,percent_production,scenario,kg_id,name,crop
5056334.35604791,1.3104208460725797,future,1,Af,greenonion
17816735.5789973,4.617460015031461,future,2,Am,greenonion
58881479.187577434,15.259971422320854,future,3,Aw,greenonion
18686293.25916649,4.842818235180268,future,4,BWh,greenonion
995695.5170129023,0.25804863166813075,future,5,BWk,greenonion
58281773.646356404,15.104549215761018,future,6,BSh,greenonion
15339756.620099682,3.9755157458317454,future,7,BSk,greenonion
15754598.546742113,4.083027921692293,future,8,Csa,greenonion
918141.1005788567,0.23794930341096984,future,9,Csb,greenonion
84.1868896484375,2.1818227868845283e-5,future,10,Csc,greenonion
70025854.11051567,18.148194428775923,future,11,Cwa,greenonion
4521591.529416718,1.1718346494404024,future,12,Cwb,greenonion
62.5898220539093,1.6221041132952895e-5,future,13,Cwc,greenonion
61613328.28520414,15.967968907015017,future,14,Cfa,greenonion
25482731.98468081,6.60421183730948,future,15,Cfb,greenonion
6682.513059310615,0.0017318681480386474,future,16,Cfc,greenonion
556658.7352546508,0.14426601554811813,future,17,Dsa,greenonion
572346.7261811098,0.14833178115921541,future,18,Dsb,greenonion
2768.5285538174826,7.175034865979946e-4,future,19,Dsc,greenonion
0,0,future,20,Dsd,greenonion
13624105.875686001,3.530880493938145,future,21,Dwa,greenonion
635308.0213241049,0.16464909481795784,future,22,Dwb,greenonion
35649.84131332483,0.00923916258826569,future,23,Dwc,greenonion
0,0,future,24,Dwd,greenonion
10410062.395589102,2.697915488080702,future,25,Dfa,greenonion
6141631.449727252,1.5916909986364227,future,26,Dfb,greenonion
96599.57557536129,0.025035151681436316,future,27,Dfc,greenonion
0,0,future,28,Dfd,greenonion
399486.8986786211,0.10353270232914744,future,29,ET,greenonion
2.0867342615765665,5.408068145875388e-7,future,30,EF,greenonion
8907956.240971996,2.3086233488712415,present,1,Af,greenonion
12909000.244665513,3.3455507154767425,present,2,Am,greenonion
52148579.89292605,13.515044965931475,present,3,Aw,greenonion
9640810.817853102,2.4985530186795732,present,4,BWh,greenonion
1224106.2730820982,0.3172445224347811,present,5,BWk,greenonion
26042905.69917252,6.749388809638027,present,6,BSh,greenonion
30299382.84772565,7.8525153027711365,present,7,BSk,greenonion
20844266.307709683,5.402087592969352,present,8,Csa,greenonion
1644072.5031877279,0.42608473430065086,present,9,Csb,greenonion
10680.398891583085,0.0027679770296757515,present,10,Csc,greenonion
28154652.756104767,7.296678045312579,present,11,Cwa,greenonion
12367623.45512296,3.205245233156758,present,12,Cwb,greenonion
19157.923837661743,0.0049650479965421155,present,13,Cwc,greenonion
47926808.67318468,12.420913007058711,present,14,Cfa,greenonion
32438416.592378605,8.40687627102736,present,15,Cfb,greenonion
60819.86764521816,0.015762332315373866,present,16,Cfc,greenonion
918744.4122315629,0.23810566019252621,present,17,Dsa,greenonion
3403584.80002609,0.8820873303196762,present,18,Dsb,greenonion
128179.93454645376,0.03321965013587014,present,19,Dsc,greenonion
0,0,present,20,Dsd,greenonion
46608571.2968846,12.079273072605119,present,21,Dwa,greenonion
2706632.829736473,0.7014623308106016,present,22,Dwb,greenonion
593284.907384074,0.15375820813083976,present,23,Dwc,greenonion
0,0,present,24,Dwd,greenonion
24070539.983425904,6.238222227684888,present,25,Dfa,greenonion
18089541.21277387,4.6881614687435285,present,26,Dfb,greenonion
3140672.343599604,0.8139498339966085,present,27,Dfc,greenonion
0,0,present,28,Dfd,greenonion
1555182.2013176805,0.40304755036821027,present,29,ET,greenonion
1588.7303989282977,4.117420421485118e-4,present,30,EF,greenonion
