production,percent_production,scenario,kg_id,name,crop
3637472897.205325,6.418068676662099,future,1,Af,rice
7794122111.014939,13.75218796027796,future,2,Am,rice
18791309666.49735,33.15596277202903,future,3,Aw,rice
1349106617.0316076,2.380405068282595,future,4,BWh,rice
92329286.92942236,0.1629086239613083,future,5,BWk,rice
1863477254.5508468,3.2879763877536794,future,6,BSh,rice
186034026.39800647,0.3282441385434682,future,7,BSk,rice
398976225.41822886,0.7039658816583807,future,8,Csa,rice
5532226.149077203,0.009761229392769591,future,9,Csb,rice
283.9596366286278,5.010270868774735e-7,future,10,Csc,rice
8559822493.519683,15.103213185630857,future,11,Cwa,rice
166815875.5392252,0.29433504408811817,future,12,Cwb,rice
242115.13843797147,4.271953716406587e-4,future,13,Cwc,rice
12063481633.103708,21.285176766649343,future,14,Cfa,rice
100599844.57546529,0.17750144938342446,future,15,Cfb,rice
381553.19684869424,6.732241559947663e-4,future,16,Cfc,rice
13204966.767571682,0.02329924812702511,future,17,Dsa,rice
10650268.855803115,0.018791660824188254,future,18,Dsb,rice
654752.341813077,0.0011552651015462562,future,19,Dsc,rice
0,0,future,20,Dsd,rice
1383627947.1487856,2.441315561298776,future,21,Dwa,rice
23697736.64672792,0.04181301292911509,future,22,Dwb,rice
2381839.359407913,0.004202590374543194,future,23,Dwc,rice
0,0,future,24,Dwd,rice
134382681.5378953,0.23710892244086992,future,25,Dfa,rice
75091863.34214851,0.13249438541761038,future,26,Dfb,rice
1591856.972648857,0.0028087212365852255,future,27,Dfc,rice
0,0,future,28,Dfd,rice
20506887.895795695,0.036182981586185055,future,29,ET,rice
11077.678673823757,1.954579580818874e-5,future,30,EF,rice
4013351608.984531,7.081280597264361,present,1,Af,rice
5087422526.6465435,8.976404247108333,present,2,Am,rice
14623708878.970427,25.80252019605566,present,3,Aw,rice
1342263501.1343021,2.3683308648362935,present,4,BWh,rice
136559182.19142506,0.2409492069086625,present,5,BWk,rice
2249430245.253579,3.9689636748882173,present,6,BSh,rice
354498620.61418504,0.6254882324021872,present,7,BSk,rice
370935436.19744503,0.6544898536431435,present,8,Csa,rice
17068105.308598146,0.030115488182811435,present,9,Csb,rice
145980.35383756435,2.5757221094148966e-4,present,10,Csc,rice
10976828085.99595,19.367851939725032,present,11,Cwa,rice
534065866.31814766,0.9423221848675204,present,12,Cwb,rice
507858.9688904423,8.96081931744953e-4,present,13,Cwc,rice
13577861657.327225,23.957195300587877,present,14,Cfa,rice
189183112.55686417,0.3338004826888233,present,15,Cfb,rice
320416.90417693835,5.653534072380383e-4,present,16,Cfc,rice
9551213.705713114,0.016852454228824688,present,17,Dsa,rice
20698897.43880616,0.036521769109402746,present,18,Dsb,rice
6297313.459317517,0.011111172894627068,present,19,Dsc,rice
0,0,present,20,Dsd,rice
2149110883.02507,3.791957117155186,present,21,Dwa,rice
200534051.1296802,0.35382842663883257,present,22,Dwb,rice
26056604.07916101,0.045975070931562,present,23,Dwc,rice
0,0,present,24,Dwd,rice
459442495.6544327,0.8106544222921064,present,25,Dfa,rice
195653879.0247466,0.3452177013884923,present,26,Dfb,rice
47181089.51133973,0.08324776054171308,present,27,Dfc,rice
0,0,present,28,Dfd,rice
86674567.38973947,0.1529312634754525,present,29,ET,rice
153910.63094300762,2.7156463494739785e-4,present,30,EF,rice
