production,percent_production,scenario,kg_id,name,crop
80464898.41717112,0.14388670789097457,future,1,Af,wheat
152603598.27620563,0.27288457203339106,future,2,Am,wheat
4023698575.035581,7.195146615433077,future,3,Aw,wheat
3830880468.5082917,6.850350771335395,future,4,BWh,wheat
815784683.4478271,1.4587798500736038,future,5,BWk,wheat
6603304837.02563,11.807978545802898,future,6,BSh,wheat
10739368925.96589,19.20405630256917,future,7,BSk,wheat
2765116098.941893,4.944559183438671,future,8,Csa,wheat
312126490.72456604,0.5581421722933125,future,9,Csb,wheat
12266.985298538493,2.1935728063717116e-5,future,10,Csc,wheat
7152750738.801682,12.790493450138788,future,11,Cwa,wheat
64785656.050903164,0.11584920817761439,future,12,Cwb,wheat
26854.002557948257,4.802011930377862e-5,future,13,Cwc,wheat
10991038119.039043,19.654089203637824,future,14,Cfa,wheat
3317614987.048913,5.93253341427643,future,15,Cfb,wheat
1043155.6251955016,0.0018653628063898943,future,16,Cfc,wheat
78284398.88410504,0.13998755552090542,future,17,Dsa,wheat
88686046.57221043,0.15858770132266617,future,18,Dsb,wheat
6356244.176828104,0.011366186587514579,future,19,Dsc,wheat
0,0,future,20,Dsd,wheat
645408140.0107636,1.1541138352120075,future,21,Dwa,wheat
110717861.61829728,0.1979848222810366,future,22,Dwb,wheat
24874011.932862002,0.04447951540937467,future,23,Dwc,wheat
0,0,future,24,Dwd,wheat
3430744754.9161596,6.134831188623891,future,25,Dfa,wheat
660656279.0993407,1.1813804393844778,future,26,Dfb,wheat
19108138.851586454,0.03416902584061029,future,27,Dfc,wheat
0,0,future,28,Dfd,wheat
6928841.602339378,0.012390100867211014,future,29,ET,wheat
13596.522052920234,2.4313195386377856e-5,future,30,EF,wheat
7187427.655081915,0.012852502443147208,present,1,Af,wheat
47376261.57421573,0.08471786386597713,present,2,Am,wheat
683503588.8851316,1.2222358217177658,present,3,Aw,wheat
2957175671.970079,5.287998623810532,present,4,BWh,wheat
1044413758.8406923,1.8676125912259454,present,5,BWk,wheat
3701823058.994755,6.619571311606685,present,6,BSh,wheat
8607192263.091446,15.391314514561161,present,7,BSk,wheat
2443225946.8595448,4.368957707556232,present,8,Csa,wheat
330319078.1590899,0.5906740161838125,present,9,Csb,wheat
290837.7622807295,5.20073833039498e-4,present,10,Csc,wheat
6450156891.911535,11.534120576971706,present,11,Cwa,wheat
240618358.6934886,0.43027188465507943,present,12,Cwb,wheat
351591.46780472837,6.287131385252856e-4,present,13,Cwc,wheat
4710575025.067795,8.423413761320434,present,14,Cfa,wheat
6325851890.446259,11.311839336492259,present,15,Cfb,wheat
4425859.058731877,0.007914286876356511,present,16,Cfc,wheat
206553583.8387481,0.36935751820072626,present,17,Dsa,wheat
468908346.6838678,0.8384982723416148,present,18,Dsb,wheat
58895284.69954347,0.10531609176692379,present,19,Dsc,wheat
0,0,present,20,Dsd,wheat
3577976746.991632,6.398110296069443,present,21,Dwa,wheat
467409036.2844053,0.8358172171022619,present,22,Dwb,wheat
222779307.82378924,0.3983722321105244,present,23,Dwc,wheat
0,0,present,24,Dwd,wheat
3223766485.3068743,5.764714250618843,present,25,Dfa,wheat
9436415881.26405,16.874125763581972,present,26,Dfb,wheat
604007835.3246373,1.0800821311503668,present,27,Dfc,wheat
24364.681915283203,4.3568735418334174e-5,present,28,Dfd,wheat
100730380.79244737,0.18012528645331088,present,29,ET,wheat
443903.9533583523,7.93785609936119e-4,present,30,EF,wheat
