production,percent_production,scenario,kg_id,name,crop
5037846.7534445515,41.132248057943,future,1,Af,abaca
2402186.604876288,19.61300931706217,future,2,Am,abaca
1382980.1805449426,11.291547089339122,future,3,Aw,abaca
84840.34147083081,0.6926915687367405,future,4,BWh,abaca
7611.288067348661,0.062143491882239214,future,5,BWk,abaca
426620.6540274866,3.4832076930689424,future,6,BSh,abaca
736439.2397307871,6.012767551434231,future,7,BSk,abaca
7312.016577767108,0.05970004535665327,future,8,Csa,abaca
88335.40735096284,0.7212275532150595,future,9,Csb,abaca
16.27971839904785,1.3291817879240798e-4,future,10,Csc,abaca
36483.4942125084,0.29787490716016274,future,11,Cwa,abaca
82319.66839319687,0.6721111590148038,future,12,Cwb,abaca
0.5649595558643341,4.612696203716087e-6,future,13,Cwc,abaca
41260.69403770101,0.3368790646601567,future,14,Cfa,abaca
436103.36134519504,3.5606306653707827,future,15,Cfb,abaca
2022.5526035642251,0.016513431128717997,future,16,Cfc,abaca
0,0,future,17,Dsa,abaca
0,0,future,18,Dsb,abaca
0,0,future,19,Dsc,abaca
0,0,future,20,Dsd,abaca
77759.21246156032,0.6348766392253449,future,21,Dwa,abaca
13673.577594798995,0.11163995512254402,future,22,Dwb,abaca
82.47888048729237,6.734110698038096e-4,future,23,Dwc,abaca
0,0,future,24,Dwd,abaca
1206226.1186545782,9.848412298874818,future,25,Dfa,abaca
70779.42082847998,0.5778890937728519,future,26,Dfb,abaca
866.5828911534613,0.00707534472288626,future,27,Dfc,abaca
0,0,future,28,Dfd,abaca
106158.16816267437,0.8667441309639687,future,29,ET,abaca
0,0,future,30,EF,abaca
5014847.016045371,40.944463285942184,present,1,Af,abaca
2029856.1421617824,16.573061954346045,present,2,Am,abaca
1602803.9478785463,13.086330886765099,present,3,Aw,abaca
66261.43812711342,0.541001352980212,present,4,BWh,abaca
8959.138542652168,0.07314821727554219,present,5,BWk,abaca
253888.2939234805,2.072908684157235,present,6,BSh,abaca
392385.5975083816,3.2036904894027702,present,7,BSk,abaca
700.0083915408804,0.00571532248054478,present,8,Csa,abaca
40222.08075062114,0.32839915221914506,present,9,Csb,abaca
2346.3322155475616,0.01915697785968938,present,10,Csc,abaca
68962.47711018274,0.5630543869256807,present,11,Cwa,abaca
199327.0952507575,1.627435673964795,present,12,Cwb,abaca
161.46536427456886,0.0013183079480467948,present,13,Cwc,abaca
18939.708026906257,0.1546360591804565,present,14,Cfa,abaca
345009.2774968029,2.8168794881637282,present,15,Cfb,abaca
1554.539375213004,0.012692267614806234,present,16,Cfc,abaca
0,0,present,17,Dsa,abaca
0,0,present,18,Dsb,abaca
0,0,present,19,Dsc,abaca
0,0,present,20,Dsd,abaca
5745.007928365547,0.046905970500752306,present,21,Dwa,abaca
33173.3796105217,0.2708489848619023,present,22,Dwb,abaca
92088.6360466064,0.751871346343909,present,23,Dwc,abaca
0,0,present,24,Dwd,abaca
249283.84257780915,2.0353149572755287,present,25,Dfa,abaca
1341106.0390237093,10.9496594415882,present,26,Dfb,abaca
144122.53380059687,1.176709832821371,present,27,Dfc,abaca
3.634912875306327,2.9677786041007302e-5,present,28,Dfd,abaca
335869.5825535915,2.7422570913389226,present,29,ET,abaca
307.4462115690112,0.002510190257392191,present,30,EF,abaca
