production,percent_production,scenario,kg_id,name,crop
3182056.2690419634,0.05790944199332898,future,1,Af,apple
10634443.489245202,0.1935335633009382,future,2,Am,apple
28585826.305183306,0.5202262657504125,future,3,Aw,apple
224450663.9947907,4.084721201641044,future,4,BWh,apple
219970227.73159418,4.003182868578661,future,5,BWk,apple
514784677.9444885,9.368436924421895,future,6,BSh,apple
807774550.7434732,14.700485954652883,future,7,BSk,apple
456031345.3648326,8.299199796833099,future,8,Csa,apple
57756518.61798302,1.0510963609237816,future,9,Csb,apple
33532.292975676595,6.102457690237183e-4,future,10,Csc,apple
1260993501.5644593,22.948503690287463,future,11,Cwa,apple
11172548.549001837,0.20332640199064358,future,12,Cwb,apple
18625.953590054698,3.3896904636398996e-4,future,13,Cwc,apple
1112689479.8248925,20.249556085916364,future,14,Cfa,apple
223254565.40929714,4.062953704212157,future,15,Cfb,apple
266871.0404063146,0.004856718966431648,future,16,Cfc,apple
11157898.562565336,0.2030597905708515,future,17,Dsa,apple
15477543.356730212,0.281671920115245,future,18,Dsb,apple
2677687.9972696328,0.04873057062589428,future,19,Dsc,apple
0,0,future,20,Dsd,apple
322424427.45870394,5.867721089914483,future,21,Dwa,apple
9654991.351645337,0.17570876010704048,future,22,Dwb,apple
791668.3512055827,0.01440737327875628,future,23,Dwc,apple
0,0,future,24,Dwd,apple
135980730.27201453,2.47467912133074,future,25,Dfa,apple
52908301.40359008,0.9628648747997237,future,26,Dfb,apple
3113252.8093093615,0.05665730512853211,future,27,Dfc,apple
0,0,future,28,Dfd,apple
8998693.91291864,0.16376496802892093,future,29,ET,apple
98689.85264978692,0.0017960318153247756,future,30,EF,apple
2883112.6616649134,0.052469042444426635,present,1,Af,apple
2937204.0878827157,0.05345343871025361,present,2,Am,apple
8774298.53567266,0.15968125297692107,present,3,Aw,apple
101250709.02936326,1.8426361967146028,present,4,BWh,apple
273955116.0036409,4.985640277117092,present,5,BWk,apple
90338134.4059768,1.6440409948324144,present,6,BSh,apple
869778271.8456938,15.828876085736464,present,7,BSk,apple
334500329.8739936,6.087487401792388,present,8,Csa,apple
94969071.609274745,1.7283182566640767,present,9,Csb,apple
275846.7819012298,0.005020066229176125,present,10,Csc,apple
296481749.46815807,5.395596815789865,present,11,Cwa,apple
23646045.492404755,0.4303284367206686,present,12,Cwb,apple
24692.155417205053,4.49366328224425e-4,present,13,Cwc,apple
347224411.1150656,6.319049757152656,present,14,Cfa,apple
529295729.15512353,9.632519896970175,present,15,Cfb,apple
928929.7423709678,0.01690535882569592,present,16,Cfc,apple
37895951.538904,0.68965889408514,present,17,Dsa,apple
66209406.049880475,1.2049283340337296,present,18,Dsb,apple
7713388.661453525,0.14037402091476145,present,19,Dsc,apple
0,0,present,20,Dsd,apple
1237893312.1893914,22.528109151804596,present,21,Dwa,apple
75625563.84295437,1.3762906222569409,present,22,Dwb,apple
6779072.321632943,0.12337063275640268,present,23,Dwc,apple
0,0,present,24,Dwd,apple
254913190.52047774,4.639101062855954,present,25,Dfa,apple
777775132.6302491,14.154534086999575,present,26,Dfb,apple
26357970.15535181,0.4796820718172891,present,27,Dfc,apple
0,0,present,28,Dfd,apple
25646422.83104067,0.4667328009625942,present,29,ET,apple
810257.7189171569,0.014745676507916392,present,30,EF,apple
