production,percent_production,scenario,kg_id,name,crop
92056.98822296805,0.07670602416271845,future,1,Af,artichoke
43884.636400705276,0.03656665338617658,future,2,Am,artichoke
285541.16583405965,0.23792574565733496,future,3,Aw,artichoke
13727148.313581603,11.43807754905564,future,4,BWh,artichoke
659685.5457735445,0.5496796754999261,future,5,BWk,artichoke
21299132.032783333,17.747395041802875,future,6,BSh,artichoke
13997829.427420195,11.663621230847678,future,7,BSk,artichoke
34651815.24302613,28.8734514198505,future,8,Csa,artichoke
2299712.4828289547,1.9162239030449957,future,9,Csb,artichoke
831.5618149208317,6.928947155387915e-4,future,10,Csc,artichoke
2484953.0640938184,2.070574689190675,future,11,Cwa,artichoke
227506.52002738998,0.18956866783572376,future,12,Cwb,artichoke
720.055288782637,5.999824613648803e-4,future,13,Cwc,artichoke
27392950.398853634,22.825038660762615,future,14,Cfa,artichoke
1130371.7227022487,0.9418765739374829,future,15,Cfb,artichoke
6355.597822031726,0.005295770038929568,future,16,Cfc,artichoke
79896.62098471372,0.06657345909393922,future,17,Dsa,artichoke
110978.76430363621,0.0924724992697452,future,18,Dsb,artichoke
15168.577936885365,0.012639141560037596,future,19,Dsc,artichoke
0,0,future,20,Dsd,artichoke
305027.6717274463,0.2541627790510924,future,21,Dwa,artichoke
9309.725459390022,0.007757282090378842,future,22,Dwb,artichoke
2250.4248406753227,0.0018751552221882755,future,23,Dwc,artichoke
0,0,future,24,Dwd,artichoke
4849.536347834168,0.004040851862044065,future,25,Dfa,artichoke
990119.068099252,0.8250117522597874,future,26,Dfb,artichoke
113766.55172307264,0.09479540916809943,future,27,Dfc,artichoke
0,0,future,28,Dfd,artichoke
80606.03502261794,0.06716457478633026,future,29,ET,artichoke
255.16311399925826,2.1261338618265018e-4,future,30,EF,artichoke
64958.14266705131,0.05412604688864871,present,1,Af,artichoke
15065.325081517452,0.01255310663567598,present,2,Am,artichoke
77409.13753552393,0.06450077597404644,present,3,Aw,artichoke
7736584.372091975,6.446470161996176,present,4,BWh,artichoke
705022.4676783193,0.5874564385053368,present,5,BWk,artichoke
1444797.7883003394,1.203870517588337,present,6,BSh,artichoke
22988963.34860473,19.155438518397673,present,7,BSk,artichoke
31342116.01075865,26.115661118621645,present,8,Csa,artichoke
6593689.063114673,5.494158372547499,present,9,Csb,artichoke
6430.4401322094145,0.0053581320188694145,present,10,Csc,artichoke
1630563.8536522652,1.3586591607164942,present,11,Cwa,artichoke
341119.890276505,0.28423643930820125,present,12,Cwb,artichoke
1490.6730988675117,0.0012420958902489624,present,13,Cwc,artichoke
31000755.33979799,25.831224050014868,present,14,Cfa,artichoke
11065381.480150187,9.220173672533075,present,15,Cfb,artichoke
14291.955665594734,0.011908700445015111,present,16,Cfc,artichoke
218951.93048539845,0.1824405989647239,present,17,Dsa,artichoke
635225.7907021549,0.52929870714828,present,18,Dsb,artichoke
55977.641008926876,0.04664308888101798,present,19,Dsc,artichoke
0,0,present,20,Dsd,artichoke
732968.0922557936,0.610741990156126,present,21,Dwa,artichoke
71692.28949402634,0.05973724098913484,present,22,Dwb,artichoke
8884.555060730107,0.007403010986115808,present,23,Dwc,artichoke
0,0,present,24,Dwd,artichoke
31677.87943259393,0.026395434307441096,present,25,Dfa,artichoke
1917122.2695769598,1.5974325249146701,present,26,Dfb,artichoke
734829.7286503684,0.6122931893537205,present,27,Dfc,artichoke
0,0,present,28,Dfd,artichoke
574535.5609105651,0.47872887727768754,present,29,ET,artichoke
2217.869849929305,0.001848028939273905,present,30,EF,artichoke
