production,percent_production,scenario,kg_id,name,crop
2850398.070749293,0.6389434562419418,future,1,Af,asparagus
4423748.899031983,0.9916247979886411,future,2,Am,asparagus
12625232.27511867,2.830064203488985,future,3,Aw,asparagus
6525891.889897273,1.462839861555241,future,4,BWh,asparagus
5705079.54890037,1.2788470784192572,future,5,BWk,asparagus
20186524.168511398,4.524998684955471,future,6,BSh,asparagus
21053449.9221637,4.719328221951734,future,7,BSk,asparagus
8082599.207943253,1.8117904044132622,future,8,Csa,asparagus
1040683.6277247481,0.23327899382771422,future,9,Csb,asparagus
594.0154795630075,1.331541399315609e-4,future,10,Csc,asparagus
194188990.97103965,43.529283270443386,future,11,Cwa,asparagus
6169536.466687814,1.38295945183543,future,12,Cwb,asparagus
23356.86896719318,0.005235661200460158,future,13,Cwc,asparagus
113792984.21432003,25.507764468444783,future,14,Cfa,asparagus
5596751.654672029,1.2545643651182787,future,15,Cfb,asparagus
11011.947564787097,0.0024684313076140008,future,16,Cfc,asparagus
14349.947111934196,0.0032166752071152204,future,17,Dsa,asparagus
30516.20076249834,0.006840492556689858,future,18,Dsb,asparagus
11088.87453316612,0.002485675208933856,future,19,Dsc,asparagus
0,0,future,20,Dsd,asparagus
38581381.512329765,8.648378450381411,future,21,Dwa,asparagus
1196913.5045667014,0.26829938571684075,future,22,Dwb,asparagus
292529.900026339,0.06557332019517018,future,23,Dwc,asparagus
0,0,future,24,Dwd,asparagus
1374517.1509948464,0.3081109084843047,future,25,Dfa,asparagus
403242.7403511574,0.09039064152773277,future,26,Dfb,asparagus
21013.08127384049,0.004710279210886179,future,27,Dfc,asparagus
0,0,future,28,Dfd,asparagus
1908560.8010691386,0.42782180046958873,future,29,ET,asparagus
213.53427100347835,4.786570919380411e-5,future,30,EF,asparagus
2951571.6799329375,0.6616224694631639,present,1,Af,asparagus
1293594.7396587864,0.28997139115965875,present,2,Am,asparagus
4484541.4564001765,1.0052520197852126,present,3,Aw,asparagus
4670545.770005978,1.0469466308750803,present,4,BWh,asparagus
6582991.672098226,1.4756393131702739,present,5,BWk,asparagus
1574366.194004777,0.35290894549456786,present,6,BSh,asparagus
33655313.606190085,7.544154136615999,present,7,BSk,asparagus
7279733.8423424475,1.631820604104255,present,8,Csa,asparagus
1974002.160075658,0.44249109474602066,present,9,Csb,asparagus
11359.265961477966,0.002546285983097884,present,10,Csc,asparagus
105061459.73306616,23.550511378932644,present,11,Cwa,asparagus
9305050.241553329,2.0858142667350714,present,12,Cwb,asparagus
50022.599936103456,0.01121303484638552,present,13,Cwc,asparagus
138999556.07663187,31.158053917834806,present,14,Cfa,asparagus
9042517.613882896,2.026965116428171,present,15,Cfb,asparagus
25310.951985607062,0.005673687232817402,present,16,Cfc,asparagus
132380.29152483513,0.029674283698542945,present,17,Dsa,asparagus
380161.524530024,0.08521677056480989,present,18,Dsb,asparagus
27663.03433304345,0.00620092854688467,present,19,Dsc,asparagus
0,0,present,20,Dsd,asparagus
92609968.93113962,20.759392955863994,present,21,Dwa,asparagus
9103984.019338375,2.040743387592299,present,22,Dwb,asparagus
1138648.6940927827,0.2552387820897477,present,23,Dwc,asparagus
0,0,present,24,Dwd,asparagus
1766284.0353163155,0.39592912927186474,present,25,Dfa,asparagus
7037334.574414625,1.5774845351777116,present,26,Dfb,asparagus
237971.95551362162,0.05334364533321376,present,27,Dfc,asparagus
0,0,present,28,Dfd,asparagus
6709813.444076158,1.5040676025891642,present,29,ET,asparagus
5012.888056222582,0.0011236858645342952,present,30,EF,asparagus
