production,percent_production,scenario,kg_id,name,crop
26755655.34952849,10.503538768514131,future,1,Af,avocado
13662567.587225212,5.36355048886491,future,2,Am,avocado
90861621.3644756,35.66978831593598,future,3,Aw,avocado
7661568.369548915,3.007722268279136,future,4,BWh,avocado
675772.829460435,0.2652899366589895,future,5,BWk,avocado
46696706.58972139,18.33185028060662,future,6,BSh,avocado
3916104.9353919933,1.537355728092237,future,7,BSk,avocado
15487397.107966162,6.079928666361856,future,8,Csa,avocado
4054041.5937102768,1.5915058888458555,future,9,Csb,avocado
3333.7657041754082,0.0013087452675520543,future,10,Csc,avocado
25145878.63934964,9.871584444722444,future,11,Cwa,avocado
9246658.633084647,3.6299853680665706,future,12,Cwb,avocado
11989.243418256861,0.004706649170192464,future,13,Cwc,avocado
3684173.3220044696,1.446305717878123,future,14,Cfa,avocado
5094825.781034689,2.0000893048903103,future,15,Cfb,avocado
35601.06325950952,0.013976004073216326,future,16,Cfc,avocado
793.6684127997387,3.115725193153993e-4,future,17,Dsa,avocado
35663.442118474835,0.014000492307756593,future,18,Dsb,avocado
55734.72430434991,0.021879928928502313,future,19,Dsc,avocado
0,0,future,20,Dsd,avocado
476347.7596620059,0.1870011067022099,future,21,Dwa,avocado
4563.28127548281,0.0017914194648763475,future,22,Dwb,avocado
206.97195081696938,8.125152910669963e-5,future,23,Dwc,avocado
0,0,future,24,Dwd,avocado
49.26558220676543,1.9340320612677494e-5,future,25,Dfa,avocado
5210.588276252377,0.002045534495470564,future,26,Dfb,avocado
2330.209627918803,9.147765900655229e-4,future,27,Dfc,avocado
0,0,future,28,Dfd,avocado
1154244.2693175077,0.45312474214261256,future,29,ET,avocado
874.3827755868332,3.4325877134828406e-4,future,30,EF,avocado
28084347.657431975,11.025147041052174,present,1,Af,avocado
14348138.872781385,5.632687031489206,present,2,Am,avocado
67819597.67178255,26.62411980213941,present,3,Aw,avocado
4417742.150536055,1.7342847835821062,present,4,BWh,avocado
1294107.911740825,0.5080313841705306,present,5,BWk,avocado
18239807.84537645,7.16044986868677,present,6,BSh,avocado
10257257.21098467,4.026718739150497,present,7,BSk,avocado
16760700.941625245,6.579792938278168,present,8,Csa,avocado
10912558.089036075,4.283971947406358,present,9,Csb,avocado
35569.03626484293,0.013963431150754702,present,10,Csc,avocado
19821805.384606853,7.781498849469568,present,11,Cwa,avocado
38308709.18034778,15.038951832462107,present,12,Cwb,avocado
43424.27750680121,0.0170471840935655,present,13,Cwc,avocado
9556071.235282253,3.7514522960933085,present,14,Cfa,avocado
8904943.231226878,3.495837244078469,present,15,Cfb,avocado
61423.55352968912,0.02411320774508191,present,16,Cfc,avocado
1322.800501858008,5.192953105714298e-4,present,17,Dsa,avocado
42232.770504968656,0.016579431021431352,present,18,Dsb,avocado
76729.89230151879,0.030122057858961004,present,19,Dsc,avocado
0,0,present,20,Dsd,avocado
1484919.7777904244,0.5829389058276225,present,21,Dwa,avocado
72850.35805504207,0.028599058783464068,present,22,Dwb,avocado
3336.817538374199,0.0013099433342188326,present,23,Dwc,avocado
0,0,present,24,Dwd,avocado
2459.485376221477,9.655267143434445e-4,present,25,Dfa,avocado
21405.629815126147,0.008403265017823668,present,26,Dfb,avocado
16694.919498958756,0.006553968942406266,present,27,Dfc,avocado
0,0,present,28,Dfd,avocado
4134685.1740629515,1.6231643536302371,present,29,ET,avocado
7072.862681470307,0.0027766125108391105,present,30,EF,avocado
