production,percent_production,scenario,kg_id,name,crop
988652856.4290605,15.8989246422537,future,1,Af,banana
875160890.2916613,14.073814639904569,future,2,Am,banana
2982802713.5751996,47.96765139295863,future,3,Aw,banana
129310172.78507893,2.0794889522825075,future,4,BWh,banana
844188.6074290812,0.013575736888923976,future,5,BWk,banana
597427957.3941808,9.607479523291284,future,6,BSh,banana
20003902.837414432,0.3216908156334626,future,7,BSk,banana
22239048.38592767,0.35763509112833713,future,8,Csa,banana
20910900.014741533,0.33627660242332263,future,9,Csb,banana
4108.110407412052,6.606417749645063e-5,future,10,Csc,banana
371860358.4241777,5.9800361447210095,future,11,Cwa,banana
47311262.64384894,0.7608314633523744,future,12,Cwb,banana
43361.62579419371,6.973157629438936e-4,future,13,Cwc,banana
90284763.12911913,1.4519056269338642,future,14,Cfa,banana
63466416.25453075,1.0206289930616235,future,15,Cfb,banana
106594.67512488365,0.001714191888543483,future,16,Cfc,banana
182727.22639238543,0.002938510098472592,future,17,Dsa,banana
194158.60872432013,0.003122342760331958,future,18,Dsb,banana
5019.582037707703,8.072191976603208e-5,future,19,Dsc,banana
0,0,future,20,Dsd,banana
33.95305114227813,5.460126858232566e-7,future,21,Dwa,banana
69043.70477299752,0.0011103196152922512,future,22,Dwb,banana
17714.586648095723,2.8487540025325e-4,future,23,Dwc,banana
0,0,future,24,Dwd,banana
18671.5163968283,3.0026417282806697e-4,future,25,Dfa,banana
229939.2379640262,0.0036977454653716567,future,26,Dfb,banana
7763.433884754804,1.248469060663581e-4,future,27,Dfc,banana
0,0,future,28,Dfd,banana
7208470.105494367,0.11592231008884664,future,29,ET,banana
19.95457134145545,3.208974959847697e-7,future,30,EF,banana
995625325.9355959,16.01105173169055,present,1,Af,banana
739506807.5026098,11.892306716620753,present,2,Am,banana
2401877142.371466,38.62555338629691,present,3,Aw,banana
138853040.60274106,2.2329516518715264,present,4,BWh,banana
1393670.609418666,0.02241217819903307,present,5,BWk,banana
694454960.0689213,11.167809818963814,present,6,BSh,banana
38753464.833542846,0.6232100711671152,present,7,BSk,banana
36421849.57888689,0.5857144274864821,present,8,Csa,banana
35250230.11793557,0.5668731432096692,present,9,Csb,banana
469533.93307830393,0.007550764224721172,present,10,Csc,banana
521034383.43244624,8.378963702321517,present,11,Cwa,banana
176692364.89549044,2.8414610609447704,present,12,Cwb,banana
515572.4098596126,0.008291127506160489,present,13,Cwc,banana
289839459.84901315,4.661025050931644,present,14,Cfa,banana
107926401.36765063,1.7356079144419359,present,15,Cfb,banana
219178.3184732548,0.0035246947864072654,present,16,Cfc,banana
559144.5689449457,0.008991828939725516,present,17,Dsa,banana
1157683.3754443584,0.01861717247473552,present,18,Dsb,banana
76636.85116766054,0.0012324280596681565,present,19,Dsc,banana
0,0,present,20,Dsd,banana
252.32086846249513,4.057673476859133e-6,present,21,Dwa,banana
254018.40160652797,0.004084972190820459,present,22,Dwb,banana
74655.42945619683,0.0012005640193528616,present,23,Dwc,banana
0,0,present,24,Dwd,banana
10158.259290142561,1.6335905763100253e-4,present,25,Dfa,banana
601529.2671554217,0.009673434336858534,present,26,Dfb,banana
133193.66368697464,0.002141940933072944,present,27,Dfc,banana
0,0,present,28,Dfd,banana
36646269.26256084,0.5893234107769951,present,29,ET,banana
16129.866323434086,2.59390874661682e-4,present,30,EF,banana
