production,percent_production,scenario,kg_id,name,crop
2802578.473429746,0.02122882335377292,future,1,Af,barley
8342197.861218526,0.06319003962137217,future,2,Am,barley
145472005.28572762,1.10191366001272,future,3,Aw,barley
533996422.1685597,4.044887886364933,future,4,BWh,barley
130794162.24041356,0.990732709977785,future,5,BWk,barley
915942986.2084228,6.938036540525544,future,6,BSh,barley
3535049666.785042,26.77710745103769,future,7,BSk,barley
619568596.7061626,4.693075473074638,future,8,Csa,barley
78059454.93409182,0.591280635171543,future,9,Csb,barley
1090.4731339497557,8.260058282801488e-6,future,10,Csc,barley
124058559.47846812,0.9397122220342172,future,11,Cwa,barley
37497427.62947599,0.28403353373112405,future,12,Cwb,barley
38694.301890410155,2.9309955364918716e-4,future,13,Cwc,barley
2472906802.406927,18.731643797433193,future,14,Cfa,barley
1910058754.1949291,14.468212138413177,future,15,Cfb,barley
94796.10151602265,7.180565014642459e-4,future,16,Cfc,barley
19539703.531193662,0.1480083139799373,future,17,Dsa,barley
17910752.883296438,0.13566942467351056,future,18,Dsb,barley
663655.6654157033,0.005027023871912916,future,19,Dsc,barley
0,0,future,20,Dsd,barley
152952960.47593442,1.158580004151173,future,21,Dwa,barley
19038772.553518567,0.14421388847559685,future,22,Dwb,barley
3315025.3062209147,0.025110478549037103,future,23,Dwc,barley
0,0,future,24,Dwd,barley
1737431548.7182722,13.16060470266682,future,25,Dfa,barley
728199583.1418024,5.515927729898736,future,26,Dfb,barley
4674855.255106821,0.03541084660286766,future,27,Dfc,barley
0,0,future,28,Dfd,barley
3349165.4711268307,0.025369081666461832,future,29,ET,barley
551.6486223792516,4.178598839913939e-6,future,30,EF,barley
2594274.409906694,0.019650972738588422,present,1,Af,barley
3606749.0479576224,0.02732021213549808,present,2,Am,barley
48899058.36999235,0.3703980038896209,present,3,Aw,barley
118365555.452203,0.8965891559107559,present,4,BWh,barley
157531666.8783846,1.1932625475047054,present,5,BWk,barley
215988054.34932163,1.6360549029321565,present,6,BSh,barley
2502965474.8298388,18.959330641232437,present,7,BSk,barley
521302835.13136226,3.9487371739074026,present,8,Csa,barley
149247831.4807994,1.130514588789438,present,9,Csb,barley
104729.7606752109,7.933014580448638e-4,present,10,Csc,barley
116374709.3192755,0.881508999804105,present,11,Cwa,barley
61469216.11819751,0.4656137706899494,present,12,Cwb,barley
272251.0377377613,0.002062232776998164,present,13,Cwc,barley
398220676.42666453,3.0164209408688096,present,14,Cfa,barley
2559944171.781207,19.390929864582098,present,15,Cfb,barley
6261134.427158252,0.04742651026849138,present,16,Cfc,barley
58315263.01558962,0.4417233733590197,present,17,Dsa,barley
142934777.82331935,1.082694803478119,present,18,Dsb,barley
7569729.830697448,0.0573387895950703,present,19,Dsc,barley
0,0,present,20,Dsd,barley
135913891.96889544,1.029513368237817,present,21,Dwa,barley
91982263.6549115,0.6967423910955236,present,22,Dwb,barley
58137417.343942255,0.4403762373614273,present,23,Dwc,barley
0,0,present,24,Dwd,barley
404031162.9056541,3.0604339068682958,present,25,Dfa,barley
4840205776.573031,36.66333499701589,present,26,Dfb,barley
570979026.0806838,4.3250217606011985,present,27,Dfc,barley
64523.76137018204,4.88751178685926e-4,present,28,Dfd,barley
28466732.278598677,0.21562829970001401,present,29,ET,barley
11815.842543486891,8.95020198398616e-5,present,30,EF,barley
