production,percent_production,scenario,kg_id,name,crop
287231.9399764828,0.15844897645890663,future,1,Af,chestnut
2945126.0869446318,1.6246529339912859,future,2,Am,chestnut
78102579.67661163,43.08460197557606,future,3,Aw,chestnut
1858654.65105133,1.0253105106409193,future,4,BWh,chestnut
2031304.0656507828,1.1205510435417956,future,5,BWk,chestnut
13555047.49059393,7.477522871977013,future,6,BSh,chestnut
10449575.749371989,5.764416666382459,future,7,BSk,chestnut
8496137.9147605,4.686819845166702,future,8,Csa,chestnut
141936.0871243178,0.07829779560473564,future,9,Csb,chestnut
0,0,future,10,Csc,chestnut
27860624.010165486,15.369068489662386,future,11,Cwa,chestnut
986865.8471522686,0.5443958753205907,future,12,Cwb,chestnut
1257.2388619504927,6.935447738044953e-4,future,13,Cwc,chestnut
15881582.577346405,8.760935514811392,future,14,Cfa,chestnut
152832.59759097127,0.08430875988174595,future,15,Cfb,chestnut
76.01191187277436,4.1931303447352744e-5,future,16,Cfc,chestnut
129400.08954043532,0.07138242266180969,future,17,Dsa,chestnut
138569.11881836693,0.0764404371163615,future,18,Dsb,chestnut
647.7610646822795,3.57331700984376e-4,future,19,Dsc,chestnut
0,0,future,20,Dsd,chestnut
15086623.728440402,8.322403449239506,future,21,Dwa,chestnut
855398.7223201012,0.4718731907982575,future,22,Dwb,chestnut
192461.36835017556,0.10616962314658575,future,23,Dwc,chestnut
0,0,future,24,Dwd,chestnut
1455021.8876120795,0.8026500424580788,future,25,Dfa,chestnut
564976.7020796348,0.31166443458543025,future,26,Dfb,chestnut
41087.24229413473,0.022665416274937157,future,27,Dfc,chestnut
0,0,future,28,Dfd,chestnut
62216.27810215069,0.03432106326746112,future,29,ET,chestnut
10.611348812715732,5.8536573556579514e-6,future,30,EF,chestnut
597451.6557081927,0.3295789574738554,present,1,Af,chestnut
2375203.482380504,1.3102601357482566,present,2,Am,chestnut
76448949.05933139,42.17239117210268,present,3,Aw,chestnut
1294994.7036969427,0.7143724522324559,present,4,BWh,chestnut
1802580.1908050794,0.9943775272400082,present,5,BWk,chestnut
9542514.950810313,5.264044545058266,present,6,BSh,chestnut
9381087.044940766,5.1749942588713305,present,7,BSk,chestnut
6636052.095651184,3.6607198432388897,present,8,Csa,chestnut
1119017.8291936223,0.6172963553061478,present,9,Csb,chestnut
57.73197777569294,3.1847338385333644e-5,present,10,Csc,chestnut
13368077.45469271,7.374382494136516,present,11,Cwa,chestnut
3283464.730350569,1.8112944744430721,present,12,Cwb,chestnut
20651.230725160258,0.011392070015912144,present,13,Cwc,chestnut
17158917.862713434,9.465566304053779,present,14,Cfa,chestnut
1454681.729240747,0.802462397080702,present,15,Cfb,chestnut
356.86163057287195,1.968595836046562e-4,present,16,Cfc,chestnut
213817.08826871327,0.1179503184373408,present,17,Dsa,chestnut
827972.5609320895,0.45674378979750857,present,18,Dsb,chestnut
32646.300828458945,0.018009045066027116,present,19,Dsc,chestnut
0,0,present,20,Dsd,chestnut
22723077.93405901,12.534986328269774,present,21,Dwa,chestnut
5507782.985707121,3.03832010017593,present,22,Dwb,chestnut
1066520.2770224677,0.5883365418230144,present,23,Dwc,chestnut
0,0,present,24,Dwd,chestnut
2948662.7665098617,1.6266039122049891,present,25,Dfa,chestnut
2390222.7159471037,1.318545364006715,present,26,Dfb,chestnut
422265.6217582989,0.2329391207915956,present,27,Dfc,chestnut
2.5786617758567445,1.4224961160366105e-6,present,28,Dfd,chestnut
658116.9569921078,0.3630444380043094,present,29,ET,chestnut
2099.0545495601837,0.0011579250028268219,present,30,EF,chestnut
