production,percent_production,scenario,kg_id,name,crop
52715822.85542757,12.397585201944453,future,1,Af,cocoa
30986136.700251114,7.28724790797625,future,2,Am,cocoa
233304375.29279295,54.86798296995615,future,3,Aw,cocoa
10554609.32505683,2.4822085911375873,future,4,BWh,cocoa
1874365.1596521735,0.44080885980045964,future,5,BWk,cocoa
11949186.710689655,2.810182072771438,future,6,BSh,cocoa
28224934.348095864,6.637874729935652,future,7,BSk,cocoa
2069116.8926088538,0.4866101215805969,future,8,Csa,cocoa
323771.21166216297,0.07614376415078915,future,9,Csb,cocoa
394.07697398075834,9.267811060162333e-5,future,10,Csc,cocoa
32379.463300795578,0.007614927232868115,future,11,Cwa,cocoa
886476.5890930841,0.20847951236483592,future,12,Cwb,cocoa
3270.471418033354,7.691418981885063e-4,future,13,Cwc,cocoa
19563024.273070686,4.600786767537485,future,14,Cfa,cocoa
4160306.3865956496,0.9784112264635328,future,15,Cfb,cocoa
3487.398830793798,8.201583850165798e-4,future,16,Cfc,cocoa
85848.52957106997,0.020189658477642584,future,17,Dsa,cocoa
207552.02404464863,0.048811604610372254,future,18,Dsb,cocoa
25758.868468549383,0.00605791106439386,future,19,Dsc,cocoa
0,0,future,20,Dsd,cocoa
590662.5769901356,0.1389106576960381,future,21,Dwa,cocoa
103909.49993684392,0.024437195683948802,future,22,Dwb,cocoa
1028.7048942720867,2.4192843597209206e-4,future,23,Dwc,cocoa
0,0,future,24,Dwd,cocoa
21590016.723581206,5.0774901603275495,future,25,Dfa,cocoa
5476760.567236248,1.2880118735729884,future,26,Dfb,cocoa
69185.1691043779,0.01627080793246404,future,27,Dfc,cocoa
0,0,future,28,Dfd,cocoa
408029.5797967366,0.09595945214241892,future,29,ET,cocoa
0.5051938071846962,1.1881031024107629e-7,future,30,EF,cocoa
61962058.731915645,14.572093553837403,present,1,Af,cocoa
28076591.58232748,6.602987821639651,present,2,Am,cocoa
227728814.63982266,53.556735520905065,present,3,Aw,cocoa
3109338.780667375,0.7312470974938973,present,4,BWh,cocoa
7447202.772534429,1.7514159105864477,present,5,BWk,cocoa
2555715.144433529,0.6010471721537821,present,6,BSh,cocoa
15080888.541364744,3.5466884606041456,present,7,BSk,cocoa
3270842.07123234,0.7692290675499217,present,8,Csa,cocoa
789218.7584707767,0.18560664087418077,present,9,Csb,cocoa
6672.068497939967,0.0015691216260300446,present,10,Csc,cocoa
121838.94256487537,0.02865380050132972,present,11,Cwa,cocoa
925654.4594996717,0.21769327324510263,present,12,Cwb,cocoa
9274.23134352469,0.002181092261031701,present,13,Cwc,cocoa
251224.0254858371,0.059082284825142536,present,14,Cfa,cocoa
3587334.7156975535,0.843661075114463,present,15,Cfb,cocoa
6755.7371841738495,0.0015887986339971605,present,16,Cfc,cocoa
51883.678759443086,0.012201883479549723,present,17,Dsa,cocoa
204390.51574179053,0.048068088405402255,present,18,Dsb,cocoa
154641.42438814897,0.0363682122511863,present,19,Dsc,cocoa
0,0,present,20,Dsd,cocoa
43639.24911769933,0.010262977599141349,present,21,Dwa,cocoa
251992.82408903356,0.05926308910116424,present,22,Dwb,cocoa
718360.5993527169,0.16894238302263825,present,23,Dwc,cocoa
0,0,present,24,Dwd,cocoa
8054264.359143864,1.8941832494072468,present,25,Dfa,cocoa
57928817.50570453,13.62356521768531,present,26,Dfb,cocoa
1229366.8228210637,0.28911964387175776,present,27,Dfc,cocoa
27.610904025146738,6.493468499832474e-6,present,28,Dfd,cocoa
1642832.9373546285,0.3863576476700619,present,29,ET,cocoa
767.1739185731367,1.804221864525217e-4,present,30,EF,cocoa
