production,percent_production,scenario,kg_id,name,crop
97448221.59048374,12.940210556664244,future,1,Af,coffee
102984744.3450926,13.675408890990726,future,2,Am,coffee
393197513.4313189,52.21294479380172,future,3,Aw,coffee
9252412.542525282,1.2286336733834282,future,4,BWh,coffee
1867108.8669120218,0.2479345592533191,future,5,BWk,coffee
27562375.257794492,3.6600251236650934,future,6,BSh,coffee
29026126.50743109,3.854397571553129,future,7,BSk,coffee
2074501.9908171843,0.27547442244974746,future,8,Csa,coffee
2943718.992684569,0.39089829412248395,future,9,Csb,coffee
1590.249336272478,2.1117020827162006e-4,future,10,Csc,coffee
9331938.837159092,1.2391940200019376,future,11,Cwa,coffee
11894030.903355042,1.579415834838753,future,12,Cwb,coffee
14627.729024561413,0.0019424253255139775,future,13,Cwc,coffee
20704571.263789844,2.7493730236023546,future,14,Cfa,coffee
15294055.453695923,2.030907230588711,future,15,Cfb,coffee
36348.926023799926,0.004826796719115463,future,16,Cfc,coffee
85848.52957106997,0.011399880167111706,future,17,Dsa,coffee
207552.11030554684,0.027560975100402,future,18,Dsb,coffee
25758.87710661315,0.0034205374713104373,future,19,Dsc,coffee
0,0,future,20,Dsd,coffee
861444.2482711558,0.11439172284027281,future,21,Dwa,coffee
119614.66214444312,0.01588370612157486,future,22,Dwb,coffee
4836.426774235344,6.422321493305266e-4,future,23,Dwc,coffee
0,0,future,24,Dwd,coffee
21590016.74970322,2.8669518858654075,future,25,Dfa,coffee
5477641.39685243,0.7273794418439425,future,26,Dfb,coffee
69634.88137417284,0.009246859638515242,future,27,Dfc,coffee
0,0,future,28,Dfd,coffee
988957.6378758075,0.13132430594283903,future,29,ET,coffee
0.4946941691607094,6.569074946277717e-8,future,30,EF,coffee
102128478.6001886,13.561704824865432,present,1,Af,coffee
91092795.24409173,12.096269499994259,present,2,Am,coffee
281482359.09947646,37.37821927670255,present,3,Aw,coffee
2243056.1629311205,0.2978568368413053,present,4,BWh,coffee
7300291.655721317,0.9694103146087383,present,5,BWk,coffee
12681162.104600366,1.683939481485058,present,6,BSh,coffee
16142068.53168488,2.143515419890481,present,7,BSk,coffee
3381883.3021273515,0.4490824080043394,present,8,Csa,coffee
6918626.023354901,0.9187286955452446,present,9,Csb,coffee
42320.538502093754,0.005619770891149731,present,10,Csc,coffee
75657326.63533284,10.046583927716696,present,11,Cwa,coffee
32930435.405108172,4.372853202549814,present,12,Cwb,coffee
204051.77806471393,0.02709616378342378,present,13,Cwc,coffee
23544379.020555142,3.1264728794357413,present,14,Cfa,coffee
21703286.103273276,2.8819929944756124,present,15,Cfb,coffee
82863.19467345015,0.011003455670832026,present,16,Cfc,coffee
51883.678759443086,0.006889666292966867,present,17,Dsa,coffee
204392.55264439367,0.02714141545391548,present,18,Dsb,coffee
154642.20088436906,0.02053503499324119,present,19,Dsc,coffee
0,0,present,20,Dsd,coffee
378833.4191010544,0.050305527684944375,present,21,Dwa,coffee
355132.42185702885,0.047158257373234966,present,22,Dwb,coffee
737094.9348281756,0.09787929939871522,present,23,Dwc,coffee
0,0,present,24,Dwd,coffee
8054615.23124602,1.069577416027639,present,25,Dfa,coffee
57929325.320850685,7.69247149740199,present,26,Dfb,coffee
1230652.8105911682,0.16341915974745197,present,27,Dfc,coffee
27.610904025146738,3.666469289164926e-6,present,28,Dfd,coffee
6429235.631445696,0.8537422379952385,present,29,ET,coffee
3973.6893187548035,5.276687006925973e-4,present,30,EF,coffee
