production,percent_production,scenario,kg_id,name,crop
1238431306.3575559,2.0904063226020853,future,1,Af,maize
995063119.1115116,1.679613737880024,future,2,Am,maize
5754583167.364801,9.713430995522508,future,3,Aw,maize
910183034.5384516,1.5363406596368807,future,4,BWh,maize
391646606.2956944,0.6610786870642922,future,5,BWk,maize
3034507542.3019,5.122087692589526,future,6,BSh,maize
5408885465.768707,9.129911621120613,future,7,BSk,maize
1450770568.575647,2.448823728556458,future,8,Csa,maize
114776281.53868908,0.19373627215457448,future,9,Csb,maize
21005.025133294825,3.5455367705617364e-5,future,10,Csc,maize
5420757581.870146,9.149951123056416,future,11,Cwa,maize
435142943.09843934,0.7344981952725547,future,12,Cwb,maize
221767.69934696695,3.7433210746852145e-4,future,13,Cwc,maize
16764436111.705704,28.297478481741795,future,14,Cfa,maize
259673580.90336165,0.4383152239018004,future,15,Cfb,maize
149077.78842884497,2.5163539543243734e-4,future,16,Cfc,maize
7215563.111384653,0.012179487608025636,future,17,Dsa,maize
21108971.722710736,0.03563082403219153,future,18,Dsb,maize
2280686.9882588647,0.0038496786020008472,future,19,Dsc,maize
0,0,future,20,Dsd,maize
4773540874.259331,8.057483667866991,future,21,Dwa,maize
50428929.47640403,0.08512135673441545,future,22,Dwb,maize
9105230.80700496,0.01536914639512442,future,23,Dwc,maize
0,0,future,24,Dwd,maize
12065800888.766357,20.366431578121713,future,25,Dfa,maize
110163351.21378572,0.18594989057055078,future,26,Dfb,maize
9624922.060372584,0.016246357651222166,future,27,Dfc,maize
0,0,future,28,Dfd,maize
15025470.192037316,0.02536219629483072,future,29,ET,maize
24676.221764135178,4.165215279109424e-5,future,30,EF,maize
813762195.6881949,1.373587400632154,present,1,Af,maize
776965147.060723,1.3114759353380465,present,2,Am,maize
4427990640.312204,7.474213211030569,present,3,Aw,maize
819995276.6433374,1.384108510499962,present,4,BWh,maize
401395849.0330788,0.6775348914207143,present,5,BWk,maize
881599627.1121827,1.4880933847992301,present,6,BSh,maize
4076404381.8503823,6.880754265140186,present,7,BSk,maize
677560832.1682187,1.1436867271046223,present,8,Csa,maize
199818405.90709296,0.33728286497293986,present,9,Csb,maize
430955.53301155707,7.274300692683021e-4,present,10,Csc,maize
3116048283.8036156,5.259724136944428,present,11,Cwa,maize
1606267635.6349423,2.7112945256512653,present,12,Cwb,maize
2421127.1637443453,0.004086734165175891,present,13,Cwc,maize
6354909897.112763,10.726750656491944,present,14,Cfa,maize
2282083301.877011,3.8520355052870645,present,15,Cfb,maize
398769.22555213666,6.73101290377629e-4,present,16,Cfc,maize
20850861.231157895,0.03519514722016155,present,17,Dsa,maize
58563479.720058694,0.09885204585182263,present,18,Dsb,maize
11386799.02631485,0.019220312468373194,present,19,Dsc,maize
0,0,present,20,Dsd,maize
7074042071.743051,11.940607603515632,present,21,Dwa,maize
658911041.1564833,1.112206869605862,present,22,Dwb,maize
57536986.48858466,0.09711937975224484,present,23,Dwc,maize
0,0,present,24,Dwd,maize
20446683352.5068,34.51291641038565,present,25,Dfa,maize
4298486761.12541,7.2556175356274695,present,26,Dfb,maize
81150652.26274459,0.13697799442123215,present,27,Dfc,maize
245.7008362468332,4.147299724436316e-7,present,28,Dfd,maize
97373897.35996017,0.16436197119107604,present,29,ET,maize
530250.3154689943,8.950343925641294e-4,present,30,EF,maize
