production,percent_production,scenario,kg_id,name,crop
647837715.4902257,3.973169202498151,future,1,Af,soybean
264986828.98200724,1.625156243307419,future,2,Am,soybean
2753367793.2372727,16.886321771128316,future,3,Aw,soybean
10154357.002678901,0.06227636574645206,future,4,BWh,soybean
9536812.05389924,0.05848898117006478,future,5,BWk,soybean
192169435.04108736,1.1785693588230692,future,6,BSh,soybean
258788297.1314357,1.587140834107665,future,7,BSk,soybean
28515726.24948872,0.1748860904703627,future,8,Csa,soybean
367170.86520066933,0.002251847860642053,future,9,Csb,soybean
0,0,future,10,Csc,soybean
896184269.3523188,5.496271139539209,future,11,Cwa,soybean
16996937.595389426,0.10424170648922822,future,12,Cwb,soybean
687.4000565701863,4.215803849106648e-6,future,13,Cwc,soybean
7462310353.143321,45.76612470324673,future,14,Cfa,soybean
3215569.0856671734,0.019720988380570306,future,15,Cfb,soybean
1311.361258336925,8.042539111868214e-6,future,16,Cfc,soybean
202536.32925992063,0.0012421492089166317,future,17,Dsa,soybean
168045.93260143284,0.0010306206447271385,future,18,Dsb,soybean
868.5129880585114,5.3265640045555285e-6,future,19,Dsc,soybean
0,0,future,20,Dsd,soybean
569251674.2965205,3.491203378108306,future,21,Dwa,soybean
25236445.7456798,0.15477436188070046,future,22,Dwb,soybean
3694703.1861088797,0.022659503391696367,future,23,Dwc,soybean
0,0,future,24,Dwd,soybean
3154609648.8050833,19.34712598980349,future,25,Dfa,soybean
6610035.7949846815,0.04053915050032274,future,26,Dfb,soybean
373194.86076332384,0.0022887928440433556,future,27,Dfc,soybean
0,0,future,28,Dfd,soybean
733269.659756607,0.00449712074430036,future,29,ET,soybean
344.88978356175903,2.115198657841199e-6,future,30,EF,soybean
45536601.6059422,0.279274606527423,present,1,Af,soybean
165528009.45619604,1.0151782978928823,present,2,Am,soybean
2468102255.405679,15.13679681704487,present,3,Aw,soybean
5524753.081273005,0.033883144295342976,present,4,BWh,soybean
10056221.759453563,0.061674505254635,present,5,BWk,soybean
143459524.7865269,0.8798329459030214,present,6,BSh,soybean
188719138.19769663,1.157408792172109,present,7,BSk,soybean
11643238.491498502,0.07140763108667889,present,8,Csa,soybean
1280596.3804155905,0.007853859041917105,present,9,Csb,soybean
4218.682170974433,2.5873050728699888e-5,present,10,Csc,soybean
663662472.5611731,4.0702219611257116,present,11,Cwa,soybean
80561200.96989809,0.4940794198245355,present,12,Cwb,soybean
9784.684116417098,6.0009173065978724e-5,present,13,Cwc,soybean
4892743734.388365,30.007050000905572,present,14,Cfa,soybean
218664798.9265792,1.341064627748804,present,15,Cfb,soybean
4014.7910886184545,2.4622592859837187e-5,present,16,Cfc,soybean
1501204.7143492352,0.009206843311343773,present,17,Dsa,soybean
951029.4584420555,0.005832635032820159,present,18,Dsb,soybean
19165.12814433878,1.1753915384101506e-4,present,19,Dsc,soybean
0,0,present,20,Dsd,soybean
600274100.999859,3.6814629869845663,present,21,Dwa,soybean
252392689.6580794,1.5479167660473825,present,22,Dwb,soybean
38061932.29645678,0.2334326847170623,present,23,Dwc,soybean
0,0,present,24,Dwd,soybean
5956289703.476688,36.529745405610726,present,25,Dfa,soybean
546226224.8922925,3.349988990215913,present,26,Dfb,soybean
5862487.909896417,0.035954461829985296,present,27,Dfc,soybean
58.34662314224988,3.5783808289570125e-7,present,28,Dfd,soybean
8230117.930190505,0.05047506545434233,present,29,ET,soybean
4753.02574363409,2.915016377056355e-5,present,30,EF,soybean
